# file...... PDEWH_Case_2bi_PDE_Outlet_Temperature.csv
# date...... Sun Mar 23 13:16:13 2014
# user...... afisher
# host...... (null)
# group..... class=waterheater AND groupid=fwh
# property.. temperature
# limit..... 10000000
# interval.. 3600
# timestamp,waterheater:55,waterheater:66,waterheater:89,waterheater:101,waterheater:113,waterheater:125,waterheater:154,waterheater:172,waterheater:208,waterheater:232,waterheater:244,waterheater:256,waterheater:262,waterheater:274,waterheater:286,waterheater:321,waterheater:333,waterheater:393,waterheater:411,waterheater:428,waterheater:440,waterheater:452,waterheater:505,waterheater:517,waterheater:588,waterheater:599,waterheater:622,waterheater:634,waterheater:646,waterheater:658,waterheater:676,waterheater:682,waterheater:694,waterheater:705,waterheater:735,waterheater:759,waterheater:783,waterheater:837,waterheater:872,waterheater:878,waterheater:908,waterheater:914,waterheater:926,waterheater:944,waterheater:968,waterheater:1015,waterheater:1039,waterheater:1051,waterheater:1081
2013-12-09 00:00:00 CST,+128.166909136,+127.326805434,+127.321105271,+127.465352548,+127.92860257,+127.99193866,+127.777516807,+128.515878421,+128.511758566,+127.909537661,+127.908857796,+127.497116924,+127.353272825,+128.496953748,+128.212952133,+124.84839127,+127.975223966,+128.452861884,+124.946782041,+128.551369092,+127.372451947,+128.187712523,+127.518968162,+128.139362984,+128.188301942,+128.413605109,+127.553489179,+127.571570019,+121.769699655,+127.406461253,+127.562146699,+127.444699072,+127.243181849,+127.717369162,+128.298801405,+128.372459542,+127.328706128,+128.360574637,+127.210615668,+128.328018444,+128.421867665,+126.713366009,+120.672993862,+127.178032833,+127.457257158,+127.312417091,+127.830873873,+128.566754915,+127.744191089
2013-12-09 01:00:00 CST,+127.811651834,+126.97359092,+126.972525494,+127.131169845,+127.566026995,+127.64644818,+127.359395749,+128.181067326,+128.122991097,+127.580919073,+127.556045773,+127.103159878,+126.971484668,+128.122116316,+127.888840261,+128.39296935,+127.598052134,+128.079070416,+128.349453177,+128.203898914,+127.035593152,+127.843646149,+127.131874925,+127.748820222,+127.829756066,+128.063398004,+127.203788614,+127.224151444,+128.454422484,+127.044862148,+127.209841908,+127.068319759,+126.914388292,+127.357858139,+127.907891413,+127.974787478,+126.970018377,+128.035149896,+126.847560643,+127.936520304,+128.034861994,+128.32622622,+128.475052673,+126.770687826,+127.097234246,+126.928851366,+127.490792083,+128.225765014,+127.382385401
2013-12-09 02:00:00 CST,+127.458470827,+126.626876301,+126.625288078,+126.798559135,+127.217349226,+127.303793358,+126.943956901,+127.844441494,+127.731376166,+127.253086597,+127.205502988,+126.711564247,+126.592024384,+127.745868774,+127.570178266,+128.05378495,+127.223383616,+127.710471716,+127.95659395,+127.846628764,+126.700927173,+127.503572421,+126.747185866,+127.360362146,+127.473571286,+127.718686771,+126.856070788,+126.878941172,+128.077056082,+126.685716886,+126.854201431,+126.694238703,+126.589286364,+127.000719178,+127.518693725,+127.578593953,+126.618119962,+127.71272021,+126.487633215,+127.545824578,+127.648666457,+127.968519054,+128.068888928,+126.366107514,+126.739634911,+126.547894504,+127.152868792,+127.875732928,+127.022514065
2013-12-09 03:00:00 CST,+127.107284838,+126.282207894,+126.280119276,+126.467852825,+126.869869857,+126.963241061,+126.531101658,+127.509889454,+127.342161415,+126.927138537,+126.856873452,+126.322247769,+126.214982766,+127.371778646,+127.253368398,+127.715764747,+126.850793005,+127.344243762,+127.565208167,+127.491470449,+126.368592709,+127.165067508,+126.364854402,+126.974296485,+127.1195824,+127.376235009,+126.510468912,+126.535354751,+127.700137381,+126.328688137,+126.500953307,+126.322416168,+126.265617355,+127.86331202,+127.132128658,+127.185008935,+126.268506243,+127.391568619,+126.129899489,+127.157426044,+127.264653479,+127.612166998,+127.662137694,+125.963927206,+126.384160663,+126.169333277,+126.816903134,+127.528646638,+126.665021168
2013-12-09 04:00:00 CST,+126.758843296,+125.939830851,+125.937093181,+127.472247849,+126.524303529,+126.624630807,+126.120792864,+127.176448299,+128.444084198,+128.515618432,+126.510551761,+128.430919225,+125.839969639,+126.999877566,+126.93848851,+127.379805465,+126.480694231,+126.9802417,+127.176143499,+127.13818626,+126.038295045,+126.829122729,+125.984771086,+126.590744309,+126.767656249,+127.036052001,+126.167020637,+128.355592641,+127.325705039,+128.366559274,+126.149616111,+128.407405993,+128.512190196,+128.293799739,+126.74773191,+128.592857872,+125.921332029,+128.572573693,+125.774317062,+126.771283772,+128.564434376,+127.257741914,+127.257397922,+125.564120879,+126.030871752,+128.512939366,+128.560374636,+127.183516577,+128.561999521
2013-12-09 05:00:00 CST,+128.405170884,+128.411110108,+125.596104716,+128.289253254,+126.18081644,+126.282895431,+125.713057596,+128.437984734,+128.425676651,+128.166981881,+126.166483186,+128.032685258,+125.467208435,+126.630573776,+126.625364266,+128.576251562,+128.381323832,+126.618104279,+126.789644317,+126.787445832,+125.710475167,+126.491783134,+128.535437817,+126.209712287,+128.495485151,+126.697721427,+128.450982509,+128.004023085,+128.142267941,+128.000067297,+128.37314213,+128.256999555,+128.171087653,+127.928706912,+128.44872821,+128.243133203,+128.40070489,+128.254118937,+128.488643308,+128.563595022,+128.224271074,+128.572078168,+127.644889714,+125.16688082,+128.498135411,+128.127452429,+128.216354752,+128.425737567,+128.251839281
2013-12-09 06:00:00 CST,+128.050115976,+128.039708893,+128.418129809,+128.580010239,+125.821934156,+128.456417681,+125.307750614,+128.082557045,+128.032959237,+127.815995969,+125.824596377,+127.634951147,+128.568141134,+128.554271705,+128.546843369,+128.255652081,+128.003152833,+126.206130807,+126.405198624,+126.426265561,+128.38348947,+128.484538576,+128.150283953,+128.451262133,+128.13863491,+128.334114442,+128.078087853,+127.654635959,+128.269846127,+127.635423075,+128.012183819,+128.49570266,+127.818544691,+127.550439937,+128.058911412,+127.845784376,+128.023393481,+127.884425788,+128.083984616,+128.186620841,+127.837669862,+128.24868613,+128.255885517,+128.379771715,+128.135563428,+128.483027258,+127.808587584,+128.055507552,+127.88746267
2013-12-09 07:00:00 CST,+127.69335101,+128.372268527,+128.578920315,+128.249184365,+125.463862661,+128.092114943,+124.904912385,+127.72740364,+127.642228404,+127.884584062,+128.54383136,+127.239625038,+128.216312156,+128.186915567,+128.213565488,+127.897660152,+127.626302667,+125.802043821,+124.123061141,+126.061485243,+128.04274356,+128.11539248,+127.759820662,+128.061508223,+127.781159498,+127.957568577,+128.374816635,+127.300145848,+127.897477366,+127.273213766,+128.345332128,+128.255604605,+127.468163351,+128.33793971,+127.689827491,+127.450608091,+128.367610703,+127.539568472,+127.700628959,+127.80371873,+127.453029198,+127.899247877,+127.847878471,+127.966576066,+127.771854287,+128.108962885,+128.382658522,+127.687490059,+127.523403684
2013-12-09 08:00:00 CST,+127.313506672,+128.000217492,+128.248624647,+128.366741026,+128.472664297,+128.385446733,+128.399296249,+128.320387429,+127.253806539,+128.302865704,+128.193311889,+126.846925088,+127.829149172,+128.513335107,+128.486739647,+128.502640045,+128.556950792,+125.430922802,+123.288516115,+125.699406531,+128.428418249,+128.414598259,+127.371532771,+128.569481743,+127.425647904,+128.567292185,+128.002771012,+126.929562806,+128.566443823,+126.9133651,+127.99150405,+127.874410977,+128.429570026,+127.957307139,+128.27388743,+127.05783229,+127.991081416,+127.202824288,+127.318386538,+128.41411815,+127.070940817,+128.500994609,+128.561150958,+128.276179578,+127.41029596,+127.73305421,+128.282837427,+127.3218494,+128.60349205
2013-12-09 09:00:00 CST,+126.932161121,+127.626293806,+127.875613745,+128.254394225,+128.100372527,+128.015902456,+127.979272886,+127.951993786,+128.508949943,+127.939353794,+127.839263106,+126.456159237,+127.444401243,+128.115663528,+128.147166346,+128.146758584,+128.189785698,+128.465793606,+128.553583591,+128.400846227,+128.089441421,+128.050887245,+126.985659842,+128.19972128,+128.481160347,+128.219082398,+128.416017892,+126.560787891,+128.245659082,+126.555551348,+127.642522451,+127.495430804,+128.070149114,+128.361376455,+127.883156,+128.413309044,+127.612018487,+128.377698548,+126.93448031,+128.033592595,+128.379840425,+128.157243717,+128.169664914,+127.863107687,+127.050859894,+127.358312324,+127.915036563,+126.956393923,+128.234859937
2013-12-09 10:00:00 CST,+128.31560357,+127.246444441,+127.504485915,+127.866096424,+127.716904477,+127.621177829,+127.560079287,+127.585358743,+128.12051811,+127.577035268,+127.486866686,+126.068224356,+128.438072028,+127.715530256,+127.778724908,+127.789279809,+127.81217605,+128.060996448,+128.160672334,+128.025711454,+128.324362211,+127.657743636,+126.601732589,+127.809124791,+128.124236324,+127.83120389,+128.044108524,+126.194536736,+127.871332182,+126.199626793,+127.289638733,+128.565042389,+127.705396732,+127.981300492,+127.494431985,+128.555907326,+127.22645752,+128.001135548,+126.525814462,+127.641965254,+128.11747315,+127.799785599,+127.761832709,+128.312404059,+126.693579512,+128.481949052,+128.348528528,+128.540728987,+127.845829649
2013-12-09 11:00:00 CST,+127.935363138,+128.36727963,+127.13549922,+127.479658169,+127.335048243,+127.228638694,+127.143606481,+127.220755754,+128.297387703,+127.216971375,+127.136493352,+125.682541181,+128.051302662,+128.529596429,+127.409258962,+127.434010284,+127.436264788,+127.646690272,+128.315682659,+127.651572752,+127.982394382,+127.26755343,+128.438271069,+127.420564904,+128.370803728,+127.44010996,+127.672973968,+125.826522469,+127.489351415,+125.845585524,+128.325006466,+128.200264048,+127.342700778,+127.602975868,+127.107789197,+128.165728887,+128.376159069,+127.627417881,+128.30676469,+127.247314983,+128.267592471,+127.438260954,+127.356061038,+127.898934022,+128.351810483,+128.08884953,+127.957172392,+128.165165383,+128.482686904
2013-12-09 12:00:00 CST,+128.354766902,+127.983729874,+126.768781523,+127.095632365,+126.955185378,+128.384153135,+126.729697821,+126.858481433,+127.905276263,+126.858979651,+126.788230063,+125.29906125,+127.665325619,+128.215060143,+128.459373257,+127.080824173,+127.062497151,+127.234019964,+127.922805048,+127.279543758,+127.642207813,+128.385743535,+128.04745798,+128.290674281,+128.012079508,+127.051495356,+127.30405038,+125.452407934,+128.462197281,+125.49371914,+127.95677973,+127.81932258,+126.982385856,+127.226790426,+126.723611606,+127.768457557,+127.986973079,+127.25633427,+127.891649728,+126.854639992,+127.880513296,+127.078696528,+126.953169171,+127.487536219,+127.98713402,+127.69520337,+127.567378246,+127.783912017,+128.08239448
2013-12-09 13:00:00 CST,+127.963064274,+127.601565148,+126.404314016,+126.714026719,+126.578062246,+127.988170954,+126.318221009,+126.498403596,+127.515022636,+126.503214152,+128.350412805,+124.918356589,+127.281485045,+127.80220447,+128.087937832,+126.729879037,+126.691067626,+126.823914496,+127.531442626,+126.909405603,+127.303948087,+127.992525892,+127.657164777,+127.899347431,+127.654733465,+126.665357005,+126.937472571,+125.080190729,+128.078922151,+125.144021034,+127.590586377,+127.440672719,+126.624081194,+126.85307272,+126.341612205,+127.373647956,+127.599286318,+128.363934621,+127.478170315,+126.464669715,+127.495513558,+126.721349316,+126.552503624,+127.078423877,+127.624165597,+127.303556681,+127.179630262,+127.404863391,+127.68167461
2013-12-09 14:00:00 CST,+127.572797705,+127.221801876,+126.041753054,+126.344947266,+126.789436196,+127.593635929,+125.909087144,+126.140734957,+127.127007977,+126.149463766,+128.287232905,+124.539769517,+126.900163475,+127.391900825,+127.716780722,+126.381055516,+126.321906488,+126.416357742,+60.3712164478,+126.541783701,+126.9678835,+127.6007037,+127.269088117,+127.510268334,+127.299302012,+126.281569291,+126.572975037,+124.710333619,+127.695920155,+124.796299529,+127.226341854,+127.064282549,+126.268021224,+126.481600989,+125.962068032,+126.981230058,+127.213791434,+127.989170573,+127.067297383,+126.076973949,+127.112462402,+126.366011271,+126.154339392,+126.671569731,+127.263171842,+126.914383871,+126.794357269,+127.028151242,+127.283214471
2013-12-09 15:00:00 CST,+127.185140851,+126.844492541,+125.681601771,+125.992911126,+126.838359573,+127.212625188,+125.502454893,+125.786026201,+126.741342194,+125.797861044,+127.931896278,+124.163694609,+126.521305661,+126.983832107,+127.354623392,+126.034448152,+125.954950191,+126.014506876,+60.2898153997,+126.176359383,+126.633363219,+127.220990409,+126.883351378,+127.123293753,+126.946427232,+125.904431757,+126.213855127,+124.342738924,+127.315317678,+124.450752213,+126.864497759,+126.69031763,+125.914186823,+126.118737228,+125.584759045,+126.59106077,+126.83040166,+127.62862741,+126.669212629,+125.691576532,+126.732075631,+126.013128485,+125.758900609,+126.267372302,+126.904335105,+126.527633333,+126.422070892,+126.65374676,+126.887058419
2013-12-09 16:00:00 CST,+126.799483056,+126.471722471,+125.340330441,+125.652334951,+126.461531268,+126.848314161,+125.098183998,+125.444284902,+126.358101578,+125.460070876,+127.578711428,+123.789966955,+126.144650411,+126.578308131,+127.010433222,+125.702308556,+125.590150713,+125.628656092,+60.2735817357,+125.826620358,+126.301265151,+126.858914098,+126.499936165,+126.738492571,+126.595189938,+125.543991484,+125.873153047,+123.983512732,+126.936650153,+124.107244494,+126.504576648,+126.31850776,+125.568108794,+125.769074361,+125.209584231,+126.203203182,+126.452259343,+127.283990151,+126.287014822,+125.308837095,+126.353866528,+125.662251825,+125.365892141,+125.865708831,+126.547799328,+126.143341712,+126.065353816,+126.284363787,+126.494278861
2013-12-09 17:00:00 CST,+126.42726879,+126.112058644,+125.002824876,+125.316177268,+126.09919174,+126.495240852,+124.696533539,+125.111692429,+125.977207529,+125.132917701,+127.227743132,+123.418444688,+125.770292869,+126.194431389,+126.679768772,+125.378344416,+125.220131089,+125.256660812,+60.2719424793,+125.48494796,+125.970877631,+126.509299468,+126.118875717,+126.356125659,+126.246588803,+125.197660262,+125.533408119,+123.649049291,+126.565689682,+123.765857373,+126.15039019,+125.949035864,+125.235642556,+125.4215888,+124.836817367,+125.817520898,+126.089649595,+126.951797382,+125.916750918,+124.935936033,+125.97806119,+125.321538142,+124.974918939,+125.466333466,+126.193285274,+125.776330921,+125.720605514,+125.928245149,+126.126454504
2013-12-09 18:00:00 CST,+125.939593749,+125.758799414,+124.667396295,+124.981810742,+125.746896557,+126.146717727,+124.2974484,+124.781121799,+125.598561406,+124.806633725,+126.878825447,+123.049000745,+125.398271125,+125.826937393,+126.355677293,+125.056328745,+124.853823596,+124.892933387,+60.2769564211,+125.143886415,+125.642888086,+126.164586247,+125.74020562,+125.976417337,+125.899860284,+124.858606188,+125.195805666,+123.328434769,+117.894362263,+123.426702246,+125.808058864,+125.581443134,+124.907735375,+125.076311701,+124.466554789,+125.408694688,+125.731643522,+126.623188455,+125.550836498,+124.580399356,+125.604575388,+124.999965074,+124.584360002,+125.069423867,+125.841168885,+125.420984164,+125.381044366,+125.578733018,+125.772853728
2013-12-09 19:00:00 CST,+125.51370789,+125.407517113,+124.333971395,+124.650511207,+125.395972657,+125.800460249,+123.900853953,+124.452224541,+125.206809007,+124.482239647,+126.532456565,+122.681776405,+125.028105321,+125.464584675,+126.033309615,+124.736339174,+124.488778861,+124.531852154,+60.2860429697,+124.805585814,+125.317453725,+125.822199432,+125.363956527,+125.599011455,+125.555027761,+124.521483319,+124.860243485,+123.007267776,+116.218884365,+123.09036979,+125.470906428,+125.216481791,+124.581874673,+124.732818522,+124.098534769,+125.006410791,+125.376280708,+126.282795639,+125.187191502,+124.228027511,+124.401236721,+124.681471623,+124.196599698,+124.675252474,+125.491137519,+125.067249131,+125.043541659,+125.222977691,+125.424525435
