# file...... PDEWH_Case_2aii_Averge_PDE_Water_Heater_Energy_Power_COP.csv
# date...... Fri Mar 21 06:17:47 2014
# user...... afisher
# host...... (null)
# group..... class=waterheater AND groupid=fwh
# trigger... (none)
# interval.. 3600
# limit..... 10000000
# property.. timestamp,avg(energy.real),avg(waterheater_power),avg(COP)
2013-07-18 02:00:00 CDT,+42.0348474026,+0.0408163265306,+2.73471647032
2013-07-18 03:00:00 CDT,+42.0861597108,+0.060696959306,+2.73583868127
2013-07-18 04:00:00 CDT,+42.2254885822,+0.119400804959,+2.74590106784
2013-07-18 05:00:00 CDT,+42.6674087136,+0.217270886398,+2.76320256389
2013-07-18 06:00:00 CDT,+43.5499755482,+0.528336631994,+2.84872340776
2013-07-18 07:00:00 CDT,+45.2854831622,+0.611796775307,+2.83730519239
2013-07-18 08:00:00 CDT,+46.2563135122,+0.160390825908,+2.76090297696
2013-07-18 09:00:00 CDT,+46.6360004946,+0.23743901561,+2.80208418628
2013-07-18 10:00:00 CDT,+47.1096896165,+0.121145514316,+2.76312453796
2013-07-18 11:00:00 CDT,+47.3147919809,+0.0611807145362,+2.75708574065
2013-07-18 12:00:00 CDT,+47.4523341146,+0.101525499637,+2.76737888977
2013-07-18 13:00:00 CDT,+47.5792951865,+0.0611086870402,+2.76806937486
2013-07-18 14:00:00 CDT,+47.6737714335,+0.0994267931793,+2.78794291624
2013-07-18 15:00:00 CDT,+47.6737714335,+0,+2.78794291624
2013-07-18 16:00:00 CDT,+47.6737714335,+0,+2.78794291624
2013-07-18 17:00:00 CDT,+47.6737714335,+0,+2.78794291624
2013-07-18 18:00:00 CDT,+47.6737714335,+0,+2.78794291624
2013-07-18 19:00:00 CDT,+47.6737714335,+0,+2.78794291624
2013-07-18 20:00:00 CDT,+49.0767986041,+0.556148921109,+2.98373676448
2013-07-18 21:00:00 CDT,+51.1369574793,+0.520261120958,+2.91067908994
2013-07-18 22:00:00 CDT,+52.254972442,+0.255940409811,+2.77826930555
2013-07-18 23:00:00 CDT,+52.6011689588,+0.0408163265306,+2.73756047316
2013-07-19 00:00:00 CDT,+52.6419756673,+0.0408163265306,+2.73756047316
2013-07-19 01:00:00 CDT,+52.6977279717,+0.0606159966163,+2.74006327533
2013-07-19 02:00:00 CDT,+52.7591914486,+0.0408163265306,+2.73745567038
2013-07-19 03:00:00 CDT,+52.8141242694,+0.0606507786788,+2.73860219995
2013-07-19 04:00:00 CDT,+52.9545778123,+0.119282868467,+2.74885646552
2013-07-19 05:00:00 CDT,+53.3965206675,+0.217206574576,+2.76638562002
2013-07-19 06:00:00 CDT,+54.2775003307,+0.528125907252,+2.85093286819
2013-07-19 07:00:00 CDT,+56.0089800346,+0.610932708183,+2.8346477582
2013-07-19 08:00:00 CDT,+57.0062943296,+0.15995806238,+2.75643588526
2013-07-19 09:00:00 CDT,+57.3651546774,+0.216747114942,+2.7916664274
2013-07-19 10:00:00 CDT,+57.8145860106,+0.12080183399,+2.75492186827
2013-07-19 11:00:00 CDT,+58.0198501303,+0.0611746677227,+2.74903151964
2013-07-19 12:00:00 CDT,+58.1764659916,+0.121400775665,+2.75734175792
2013-07-19 13:00:00 CDT,+58.3064024047,+0.0611385373002,+2.75047790106
2013-07-19 14:00:00 CDT,+58.3799193344,+0.0586965681696,+2.77292613658
2013-07-19 15:00:00 CDT,+58.3799193344,+0,+2.77292613658
2013-07-19 16:00:00 CDT,+58.3799193344,+0,+2.77292613658
2013-07-19 17:00:00 CDT,+58.3799193344,+0,+2.77292613658
2013-07-19 18:00:00 CDT,+58.3799193344,+0,+2.77292613658
2013-07-19 19:00:00 CDT,+58.3799193344,+0,+2.77292613658
2013-07-19 20:00:00 CDT,+59.7828939126,+0.572650297157,+2.98038528546
2013-07-19 21:00:00 CDT,+61.8458884259,+0.497981665184,+2.89705136348
2013-07-19 22:00:00 CDT,+62.9764102066,+0.254763677105,+2.76214629652
2013-07-19 23:00:00 CDT,+63.3432632972,+0.0408163265306,+2.71693100511
2013-07-20 00:00:00 CDT,+63.4123519998,+0.0604353417487,+2.71589372026
2013-07-20 01:00:00 CDT,+63.4611966317,+0.0408163265306,+2.7147425191
2013-07-20 02:00:00 CDT,+63.5020033402,+0.0408163265306,+2.7147425191
2013-07-20 03:00:00 CDT,+63.5528966125,+0.0605778918657,+2.7155038
2013-07-20 04:00:00 CDT,+63.6902723068,+0.118397678443,+2.72317550759
2013-07-20 05:00:00 CDT,+64.1402063119,+0.235650182468,+2.72948791802
2013-07-20 06:00:00 CDT,+65.0141651873,+0.501142022777,+2.79221069122
2013-07-20 07:00:00 CDT,+66.7084280356,+0.624350386606,+2.78361643839
2013-07-20 08:00:00 CDT,+67.7449151642,+0.17840002219,+2.70826726724
2013-07-20 09:00:00 CDT,+68.1216820431,+0.214687558338,+2.74545881991
2013-07-20 10:00:00 CDT,+68.5961031409,+0.119891404303,+2.71297670389
2013-07-20 11:00:00 CDT,+68.8166302496,+0.0804990076276,+2.70902913136
2013-07-20 12:00:00 CDT,+68.9936384692,+0.0805492827597,+2.7126164233
2013-07-20 13:00:00 CDT,+69.064008708,+0.0408163265306,+2.7088608399
2013-07-20 14:00:00 CDT,+69.1360783721,+0.0985634529246,+2.72783555888
2013-07-20 15:00:00 CDT,+69.1360783721,+0,+2.72783555888
2013-07-20 16:00:00 CDT,+69.1360783721,+0,+2.72783555888
2013-07-20 17:00:00 CDT,+69.1360783721,+0,+2.72783555888
2013-07-20 18:00:00 CDT,+69.1360783721,+0,+2.72783555888
2013-07-20 19:00:00 CDT,+69.1360783721,+0,+2.72783555888
2013-07-20 20:00:00 CDT,+70.5540427146,+0.592136240537,+2.95893403882
2013-07-20 21:00:00 CDT,+72.6282649432,+0.498959679141,+2.89532378916
2013-07-20 22:00:00 CDT,+73.7577519968,+0.255143606491,+2.76045451076
2013-07-20 23:00:00 CDT,+74.1304565783,+0.0602349206015,+2.7189432993
