# file...... feeder_3_power.csv
# date...... Sat Sep 26 23:35:38 2009
# user...... glduser
# host...... (null)
# target.... regulator 4891
# trigger... (none)
# interval.. 300
# limit..... 312
# timestamp,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,tap_A,tap_B,tap_C
2000-07-11 02:20:00 MDT,+3.32512e+006,+1.42062e+006,+3.28708e+006,+1.41474e+006,+3.34172e+006,+1.44401e+006,7,7,7
2000-07-11 02:25:00 MDT,+3.31487e+006,+1.42055e+006,+3.26284e+006,+1.41347e+006,+3.34623e+006,+1.44424e+006,7,7,7
2000-07-11 02:30:00 MDT,+3.32082e+006,+1.42056e+006,+3.2768e+006,+1.41381e+006,+3.36522e+006,+1.44521e+006,7,7,7
2000-07-11 02:35:00 MDT,+3.29349e+006,+1.41927e+006,+3.24373e+006,+1.41248e+006,+3.36637e+006,+1.44607e+006,7,7,7
2000-07-11 02:40:00 MDT,+3.31263e+006,+1.41976e+006,+3.30005e+006,+1.41545e+006,+3.33466e+006,+1.44378e+006,7,7,7
2000-07-11 02:45:00 MDT,+3.31117e+006,+1.4203e+006,+3.2571e+006,+1.41279e+006,+3.37134e+006,+1.44558e+006,7,7,7
2000-07-11 02:50:00 MDT,+3.30056e+006,+1.41909e+006,+3.28672e+006,+1.41443e+006,+3.36837e+006,+1.44588e+006,7,7,7
2000-07-11 02:55:00 MDT,+3.31238e+006,+1.42044e+006,+3.24077e+006,+1.41186e+006,+3.38015e+006,+1.44639e+006,7,7,7
2000-07-11 03:00:00 MDT,+3.28966e+006,+1.41874e+006,+3.29234e+006,+1.41512e+006,+3.34328e+006,+1.44456e+006,7,7,7
2000-07-11 03:05:00 MDT,+3.335e+006,+1.42089e+006,+3.27654e+006,+1.41349e+006,+3.36369e+006,+1.44458e+006,7,7,7
2000-07-11 03:10:00 MDT,+3.35246e+006,+1.42115e+006,+3.30003e+006,+1.4144e+006,+3.38169e+006,+1.44509e+006,7,7,7
2000-07-11 03:15:00 MDT,+3.30827e+006,+1.4201e+006,+3.25648e+006,+1.41334e+006,+3.33031e+006,+1.44365e+006,7,7,7
2000-07-11 03:20:00 MDT,+3.31452e+006,+1.42371e+006,+3.28958e+006,+1.41823e+006,+3.3883e+006,+1.45058e+006,7,7,7
2000-07-11 03:25:00 MDT,+3.36849e+006,+1.42715e+006,+3.26582e+006,+1.41714e+006,+3.36005e+006,+1.44836e+006,7,7,7
2000-07-11 03:30:00 MDT,+3.32529e+006,+1.42423e+006,+3.30436e+006,+1.41918e+006,+3.37363e+006,+1.44945e+006,7,7,7
