$state_name=Virginia
$city_name=Charlottesville
$lat_deg=38.090
$long_deg=-78.460
$elevation=148
$timezone_offset=-75.0
temperature,humidity,solar_direct,solar_diffuse,pressure,wind_speed
1:9:8:0:0,26.420,90.733,0.000,0.000,996.000,0.671
1:9:9:0:0,26.240,91.411,0.000,0.000,996.000,0.671
1:9:10:0:0,26.240,91.411,0.000,0.000,995.000,0.671
1:9:11:0:0,26.420,90.733,0.000,0.000,995.000,0.671
1:9:12:0:0,28.220,83.621,0.000,0.000,995.000,0.895
1:9:13:0:0,31.460,75.529,53.791,3.716,995.000,1.118
1:9:14:0:0,34.160,72.488,68.098,5.853,994.000,1.118
1:9:15:0:0,37.040,67.616,74.601,7.432,994.000,1.118
1:9:16:0:0,41.180,62.394,78.596,8.175,992.000,1.342
1:9:17:0:0,44.420,60.149,0.186,14.864,991.000,1.342
1:9:18:0:0,44.600,62.847,1.672,16.165,991.000,1.118
1:9:19:0:0,42.800,72.348,4.831,14.586,991.000,0.895
1:9:20:0:0,40.640,84.450,7.618,9.755,991.000,0.671
1:9:21:0:0,38.480,86.763,0.000,2.230,993.000,0.671
1:9:22:0:0,36.860,84.816,0.000,0.000,994.000,0.671
1:9:23:0:0,36.140,82.943,0.000,0.000,995.000,0.895
1:10:0:0:0,34.520,84.666,0.000,0.000,997.000,1.118
1:10:1:0:0,33.800,84.001,0.000,0.000,998.000,1.118
1:10:2:0:0,33.080,82.117,0.000,0.000,998.000,1.342
1:10:3:0:0,32.360,79.075,0.000,0.000,998.000,1.342
1:10:4:0:0,31.460,77.247,0.000,0.000,999.000,1.342
1:10:5:0:0,30.740,75.459,0.000,0.000,999.000,1.342
1:10:6:0:0,30.200,73.716,0.000,0.000,1000.000,1.566
1:10:7:0:0,29.480,70.892,0.000,0.000,1000.000,1.566
1:10:8:0:0,28.580,70.250,0.000,0.000,1001.000,1.566
1:10:9:0:0,27.500,70.667,0.000,0.000,1002.000,1.342
1:10:10:0:0,26.600,72.216,0.000,0.000,1003.000,1.342
1:10:11:0:0,26.060,73.280,0.000,0.000,1004.000,1.118
1:10:12:0:0,27.500,69.052,0.000,0.000,1005.000,1.118
1:10:13:0:0,30.740,60.497,13.192,5.388,1006.000,1.342
1:10:14:0:0,33.440,50.610,76.924,4.924,1007.000,1.566
1:10:15:0:0,35.420,45.692,22.575,16.072,1007.000,1.566
1:10:16:0:0,36.860,43.500,7.432,19.510,1007.000,1.566
1:10:17:0:0,37.760,42.979,33.538,18.488,1007.000,1.566
1:10:18:0:0,38.120,43.374,85.935,6.225,1008.000,1.566
1:10:19:0:0,37.580,45.343,81.476,5.667,1008.000,1.342
1:10:20:0:0,34.880,53.245,72.279,4.645,1009.000,0.895
1:10:21:0:0,30.200,78.299,48.495,2.880,1010.000,0.671
1:10:22:0:0,26.960,83.533,0.000,0.000,1011.000,0.447
1:10:23:0:0,26.420,82.236,0.000,0.000,1011.000,0.447
1:11:0:0:0,25.340,84.058,0.000,0.000,1012.000,0.447
1:11:1:0:0,25.160,82.772,0.000,0.000,1013.000,0.671
1:11:2:0:0,26.060,77.333,0.000,0.000,1013.000,1.118
1:11:3:0:0,27.320,70.104,0.000,0.000,1013.000,1.118
1:11:4:0:0,28.220,64.000,0.000,0.000,1014.000,0.895
1:11:5:0:0,28.400,63.039,0.000,0.000,1014.000,1.118
1:11:6:0:0,28.040,64.976,0.000,0.000,1014.000,1.118
