$state_name=Virginia
$city_name=Charlottesville
$lat_deg=38.090
$long_deg=-78.460
$elevation=148
$timezone_offset=-75.0
temperature,humidity,solar_direct,solar_diffuse,pressure,wind_speed
8:4:5:0:0,68.540,86.648,0.000,0.000,996.000,0.224
8:4:6:0:0,67.820,88.262,0.000,0.000,996.000,0.447
8:4:7:0:0,67.280,89.355,0.000,0.000,996.000,0.671
8:4:8:0:0,66.740,90.466,0.000,0.000,995.000,0.895
8:4:9:0:0,66.740,89.897,0.000,0.000,995.000,1.118
8:4:10:0:0,68.900,84.514,0.000,0.465,996.000,0.671
8:4:11:0:0,73.400,78.698,18.395,8.454,996.000,0.224
8:4:12:0:0,79.520,63.829,0.000,5.760,996.000,0.224
8:4:13:0:0,85.280,50.378,0.000,11.520,997.000,0.224
8:4:14:0:0,88.700,44.065,1.672,23.504,996.000,0.224
8:4:15:0:0,90.860,39.894,2.601,30.472,996.000,0.224
8:4:16:0:0,92.120,37.396,20.624,41.992,996.000,0.224
8:4:17:0:0,92.660,36.080,7.711,41.528,996.000,0.000
8:4:18:0:0,92.120,36.227,11.334,40.970,996.000,0.224
8:4:19:0:0,90.860,38.163,29.357,34.188,996.000,0.224
8:4:20:0:0,90.140,39.533,36.790,25.455,996.000,0.224
8:4:21:0:0,88.520,45.445,29.450,23.504,996.000,0.224
8:4:22:0:0,84.740,54.565,10.684,12.542,997.000,0.447
8:4:23:0:0,82.580,65.389,6.689,5.017,997.000,0.447
8:5:0:0:0,78.440,68.651,0.000,0.000,998.000,1.118
8:5:1:0:0,76.100,72.355,0.000,0.000,998.000,1.118
8:5:2:0:0,73.940,77.767,0.000,0.000,998.000,1.118
8:5:3:0:0,72.500,81.121,0.000,0.000,998.000,1.118
8:5:4:0:0,71.600,82.591,0.000,0.000,998.000,1.118
8:5:5:0:0,70.880,83.582,0.000,0.000,998.000,1.342
8:5:6:0:0,70.160,84.590,0.000,0.000,999.000,1.342
8:5:7:0:0,69.440,85.079,0.000,0.000,999.000,1.342
8:5:8:0:0,68.540,86.648,0.000,0.000,999.000,1.342
8:5:9:0:0,68.000,87.166,0.000,0.000,1000.000,1.118
8:5:10:0:0,69.980,81.965,1.115,0.557,1000.000,0.447
8:5:11:0:0,74.840,70.885,18.302,8.361,1001.000,0.224
8:5:12:0:0,80.780,58.629,31.030,16.258,1001.000,0.224
8:5:13:0:0,86.180,48.950,41.713,21.554,1002.000,0.224
8:5:14:0:0,89.420,43.348,48.960,25.270,1002.000,0.224
8:5:15:0:0,91.400,39.976,49.982,29.915,1002.000,0.224
8:5:16:0:0,93.020,37.771,52.583,31.308,1002.000,0.224
8:5:17:0:0,93.920,36.733,52.583,31.959,1002.000,0.224
8:5:18:0:0,94.100,36.299,54.070,29.264,1001.000,0.224
8:5:19:0:0,93.380,37.117,49.982,28.150,1001.000,0.224
8:5:20:0:0,92.120,39.089,44.686,25.177,1001.000,0.224
8:5:21:0:0,90.500,43.510,33.352,21.832,1002.000,0.224
8:5:22:0:0,86.720,50.901,13.750,12.356,1002.000,0.447
8:5:23:0:0,83.840,65.935,0.000,2.137,1002.000,0.447
8:6:0:0:0,78.080,77.627,0.000,0.000,1003.000,0.671
8:6:1:0:0,76.280,79.902,0.000,0.000,1004.000,0.447
8:6:2:0:0,74.840,82.296,0.000,0.000,1004.000,0.447
8:6:3:0:0,73.760,83.763,0.000,0.000,1004.000,0.224
8:6:4:0:0,72.860,84.750,0.000,0.000,1004.000,0.224
8:6:5:0:0,71.780,86.816,0.000,0.000,1004.000,0.224
8:6:6:0:0,71.060,87.320,0.000,0.000,1004.000,0.224
8:6:7:0:0,70.520,87.839,0.000,0.000,1004.000,0.224
8:6:8:0:0,69.980,88.362,0.000,0.000,1004.000,0.224
8:6:9:0:0,69.620,88.345,0.000,0.000,1004.000,0.224
8:6:10:0:0,71.780,82.089,0.000,0.465,1004.000,0.447
8:6:11:0:0,76.460,71.050,22.204,7.897,1004.000,0.447
8:6:12:0:0,82.400,58.840,37.347,14.307,1005.000,0.447
8:6:13:0:0,87.620,48.853,48.310,18.581,1005.000,0.447
8:6:14:0:0,90.860,43.837,55.091,21.461,1005.000,0.447
8:6:15:0:0,92.840,40.701,56.113,25.548,1004.000,0.224
8:6:16:0:0,94.280,38.683,58.901,26.292,1004.000,0.224
8:6:17:0:0,95.000,37.598,60.480,25.827,1003.000,0.447
8:6:18:0:0,95.360,36.952,57.228,26.756,1003.000,0.447
8:6:19:0:0,95.180,37.157,55.649,24.433,1002.000,0.447
8:6:20:0:0,93.920,38.629,51.840,21.182,1002.000,0.447
8:6:21:0:0,92.300,41.650,43.107,17.930,1002.000,0.447
8:6:22:0:0,88.340,50.816,32.330,12.356,1002.000,0.447
8:6:23:0:0,85.280,64.511,14.679,5.203,1002.000,0.447
8:7:0:0:0,78.980,76.757,0.000,0.000,1002.000,0.447
8:7:1:0:0,77.540,76.635,0.000,0.000,1003.000,0.224
8:7:2:0:0,76.280,78.925,0.000,0.000,1003.000,0.224
8:7:3:0:0,75.020,82.308,0.000,0.000,1003.000,0.224
8:7:4:0:0,73.940,85.865,0.000,0.000,1003.000,0.224
8:7:5:0:0,73.400,87.436,0.000,0.000,1003.000,0.224
8:7:6:0:0,72.680,89.032,0.000,0.000,1002.000,0.224
8:7:7:0:0,71.960,91.224,0.000,0.000,1002.000,0.224
8:7:8:0:0,71.240,92.332,0.000,0.000,1002.000,0.224
8:7:9:0:0,70.880,92.320,0.000,0.000,1002.000,0.224
8:7:10:0:0,72.860,85.806,2.694,0.650,1003.000,0.447
8:7:11:0:0,77.360,74.294,30.472,6.968,1003.000,0.447
8:7:12:0:0,83.480,61.971,48.217,11.520,1003.000,0.447
8:7:13:0:0,88.880,49.341,58.993,14.586,1003.000,0.447
8:7:14:0:0,92.300,42.174,65.868,16.537,1002.000,0.447
8:7:15:0:0,94.640,37.075,68.470,18.674,1002.000,0.447
8:7:16:0:0,96.440,33.144,71.628,18.766,1001.000,0.671
8:7:17:0:0,97.520,30.675,28.800,40.599,1000.000,0.671
8:7:18:0:0,97.880,29.389,67.633,20.996,1000.000,0.671
8:7:19:0:0,97.340,29.121,66.147,19.045,999.000,0.671
8:7:20:0:0,95.900,30.045,18.116,28.986,999.000,0.671
8:7:21:0:0,93.380,33.315,52.026,15.143,998.000,0.671
8:7:22:0:0,88.160,43.984,39.298,11.055,998.000,0.671
8:7:23:0:0,84.560,60.224,18.395,4.924,999.000,0.671
8:8:0:0:0,77.720,72.513,0.000,0.000,999.000,0.895
8:8:1:0:0,75.920,74.161,0.000,0.000,1000.000,0.447
8:8:2:0:0,74.660,75.914,0.000,0.000,1000.000,0.224
8:8:3:0:0,73.580,78.224,0.000,0.000,1000.000,0.224
8:8:4:0:0,72.680,79.630,0.000,0.000,1000.000,0.224
8:8:5:0:0,71.960,80.577,0.000,0.000,1000.000,0.224
8:8:6:0:0,71.060,81.527,0.000,0.000,999.000,0.224
8:8:7:0:0,70.160,83.014,0.000,0.000,999.000,0.224
8:8:8:0:0,69.440,83.491,0.000,0.000,999.000,0.224
8:8:9:0:0,69.080,83.468,0.000,0.000,1000.000,0.224
8:8:10:0:0,70.700,78.483,0.000,0.000,1000.000,0.447
8:8:11:0:0,75.200,67.870,27.592,7.154,1000.000,0.447
8:8:12:0:0,82.220,55.947,45.987,11.984,1000.000,0.671
8:8:13:0:0,89.240,42.242,56.764,15.143,1000.000,0.447
8:8:14:0:0,93.740,34.015,63.267,17.466,1000.000,0.447
8:8:15:0:0,96.620,29.960,64.661,20.439,1000.000,0.447
8:8:16:0:0,98.240,27.794,67.076,21.182,999.000,0.447
8:8:17:0:0,99.320,26.899,68.005,20.996,998.000,0.447
8:8:18:0:0,99.500,26.925,65.218,21.646,998.000,0.447
8:8:19:0:0,99.140,27.571,62.895,20.253,997.000,0.447
8:8:20:0:0,97.700,29.362,57.693,18.302,997.000,0.447
8:8:21:0:0,95.720,33.035,43.664,17.652,996.000,0.447
8:8:22:0:0,91.760,40.793,30.658,12.449,997.000,0.671
8:8:23:0:0,88.700,57.163,12.263,4.831,997.000,1.118
8:9:0:0:0,83.480,63.906,0.000,0.000,998.000,1.566
8:9:1:0:0,81.320,68.960,0.000,0.000,998.000,1.342
8:9:2:0:0,79.520,74.037,0.000,0.000,999.000,0.895
8:9:3:0:0,78.260,76.696,0.000,0.000,998.000,0.895
8:9:4:0:0,77.000,79.467,0.000,0.000,998.000,0.671
8:9:5:0:0,75.920,81.363,0.000,0.000,998.000,0.671
8:9:6:0:0,74.840,83.316,0.000,0.000,998.000,0.447
8:9:7:0:0,73.940,83.774,0.000,0.000,998.000,0.224
8:9:8:0:0,73.220,83.729,0.000,0.000,998.000,0.224
8:9:9:0:0,72.860,83.189,0.000,0.000,998.000,0.224
8:9:10:0:0,75.200,76.435,0.000,0.000,998.000,0.447
8:9:11:0:0,79.880,65.076,19.974,7.711,999.000,0.447
8:9:12:0:0,86.360,54.112,16.815,14.772,999.000,0.447
8:9:13:0:0,92.300,44.052,27.221,22.018,999.000,0.224
8:9:14:0:0,95.540,38.154,33.259,28.335,998.000,0.224
8:9:15:0:0,97.700,34.398,44.686,29.450,998.000,0.224
8:9:16:0:0,99.320,31.140,42.550,34.095,997.000,0.224
8:9:17:0:0,100.580,28.680,65.682,22.483,997.000,0.224
8:9:18:0:0,100.760,27.282,64.661,22.111,996.000,0.447
8:9:19:0:0,100.400,26.712,62.895,20.346,996.000,0.447
8:9:20:0:0,98.960,27.545,58.529,18.023,995.000,0.447
8:9:21:0:0,96.260,30.487,51.190,14.864,995.000,0.447
8:9:22:0:0,90.680,39.365,38.369,10.777,995.000,0.447
8:9:23:0:0,86.540,56.181,17.373,4.645,996.000,0.447
8:10:0:0:0,79.880,66.711,0.000,0.000,996.000,0.447
8:10:1:0:0,78.260,69.059,0.000,0.000,997.000,0.224
8:10:2:0:0,77.000,73.347,0.000,0.000,997.000,0.224
8:10:3:0:0,75.740,77.914,0.000,0.000,997.000,0.224
8:10:4:0:0,74.840,81.790,0.000,0.000,996.000,0.447
8:10:5:0:0,74.120,84.303,0.000,0.000,996.000,0.447
8:10:6:0:0,73.580,85.845,0.000,0.000,996.000,0.224
8:10:7:0:0,73.040,86.881,0.000,0.000,996.000,0.224
8:10:8:0:0,72.500,88.477,0.000,0.000,996.000,0.224
8:10:9:0:0,72.500,88.477,0.000,0.000,996.000,0.224
8:10:10:0:0,74.480,82.781,0.000,0.000,996.000,0.447
8:10:11:0:0,79.340,71.342,12.263,6.689,996.000,0.447
8:10:12:0:0,85.280,61.059,27.035,13.564,996.000,0.671
8:10:13:0:0,90.320,53.011,35.024,20.253,996.000,0.671
8:10:14:0:0,93.200,48.457,35.024,27.685,996.000,0.671
8:10:15:0:0,95.180,45.028,41.621,30.379,995.000,0.671
8:10:16:0:0,96.260,43.029,67.076,19.417,995.000,0.447
8:10:17:0:0,96.620,42.297,41.342,35.303,995.000,0.447
8:10:18:0:0,95.900,43.507,63.546,21.089,995.000,0.447
8:10:19:0:0,94.100,46.553,13.099,35.768,995.000,0.447
8:10:20:0:0,91.940,51.639,54.813,18.302,995.000,0.447
8:10:21:0:0,89.240,60.080,12.356,20.346,995.000,0.447
8:10:22:0:0,85.820,73.287,11.892,11.706,995.000,0.447
8:10:23:0:0,83.660,80.926,0.000,3.623,996.000,0.447
8:11:0:0:0,79.700,90.946,0.000,0.000,997.000,0.224
8:11:1:0:0,78.440,93.663,0.000,0.000,997.000,0.224
8:11:2:0:0,77.540,94.770,0.000,0.000,997.000,0.224
8:11:3:0:0,76.640,95.322,0.000,0.000,997.000,0.224
8:11:4:0:0,75.920,96.463,0.000,0.000,997.000,0.224
8:11:5:0:0,75.200,97.622,0.000,0.000,997.000,0.224
8:11:6:0:0,74.480,98.801,0.000,0.000,997.000,0.224
8:11:7:0:0,73.580,99.397,0.000,0.000,997.000,0.447
8:11:8:0:0,73.040,99.395,0.000,0.000,997.000,0.447
8:11:9:0:0,72.860,98.195,0.000,0.000,998.000,0.447
8:11:10:0:0,73.580,94.685,0.000,0.000,998.000,0.447
8:11:11:0:0,76.280,88.111,0.000,5.388,999.000,0.447
8:11:12:0:0,79.880,84.646,29.543,15.422,999.000,0.447
8:11:13:0:0,82.760,75.694,36.418,22.390,999.000,0.447
8:11:14:0:0,84.380,70.980,41.435,27.685,999.000,0.447
8:11:15:0:0,85.280,67.721,41.342,33.631,999.000,0.447
8:11:16:0:0,87.080,64.720,17.559,41.713,999.000,0.447
8:11:17:0:0,88.340,62.186,2.415,32.702,999.000,0.447
8:11:18:0:0,87.980,64.824,16.258,40.599,999.000,0.447
8:11:19:0:0,86.900,68.306,0.279,14.586,998.000,0.447
8:11:20:0:0,85.280,72.798,0.000,9.197,999.000,0.447
8:11:21:0:0,82.940,79.436,0.000,11.613,999.000,0.447
8:11:22:0:0,80.420,86.732,2.323,10.777,999.000,0.447
8:11:23:0:0,79.160,94.241,0.000,3.437,999.000,0.447
8:12:0:0:0,76.460,96.470,0.000,0.000,1000.000,0.447
8:12:1:0:0,75.380,96.455,0.000,0.000,1000.000,0.224
8:12:2:0:0,74.480,98.207,0.000,0.000,1000.000,0.224
8:12:3:0:0,73.760,98.798,0.000,0.000,1000.000,0.224
8:12:4:0:0,73.220,99.396,0.000,0.000,1000.000,0.447
8:12:5:0:0,72.860,98.793,0.000,0.000,1000.000,0.671
8:12:6:0:0,72.500,98.791,0.000,0.000,1000.000,0.671
8:12:7:0:0,72.500,97.596,0.000,0.000,1000.000,0.671
8:12:8:0:0,72.140,97.592,0.000,0.000,1000.000,0.671
8:12:9:0:0,71.960,97.590,0.000,0.000,1000.000,0.671
8:12:10:0:0,72.680,96.415,0.000,0.000,1001.000,0.224
8:12:11:0:0,75.020,93.010,12.542,7.618,1001.000,0.447
8:12:12:0:0,77.900,89.795,0.000,8.826,1001.000,0.447
8:12:13:0:0,80.060,83.644,0.000,14.121,1001.000,0.447
8:12:14:0:0,81.680,75.143,0.929,20.160,1001.000,0.447
8:12:15:0:0,83.300,68.333,6.968,35.675,1001.000,0.447
8:12:16:0:0,84.740,64.842,5.760,38.276,1001.000,0.447
8:12:17:0:0,85.280,63.729,1.672,28.707,1000.000,0.671
8:12:18:0:0,85.280,64.119,7.525,38.648,1000.000,0.671
8:12:19:0:0,84.740,66.038,12.077,35.396,1000.000,0.671
8:12:20:0:0,83.660,70.053,21.368,27.871,999.000,0.447
8:12:21:0:0,82.040,77.014,0.000,13.471,999.000,0.447
8:12:22:0:0,79.700,85.659,0.000,3.716,999.000,0.224
8:12:23:0:0,78.260,91.442,0.000,0.279,999.000,0.224
8:13:0:0:0,75.560,97.040,0.000,0.000,1000.000,0.224
8:13:1:0:0,74.840,98.209,0.000,0.000,1000.000,0.224
8:13:2:0:0,74.120,99.398,0.000,0.000,1000.000,0.224
8:13:3:0:0,73.760,99.397,0.000,0.000,1000.000,0.224
8:13:4:0:0,73.400,99.396,0.000,0.000,1000.000,0.224
8:13:5:0:0,73.040,99.395,0.000,0.000,999.000,0.224
8:13:6:0:0,72.680,100.000,0.000,0.000,999.000,0.224
8:13:7:0:0,72.140,100.000,0.000,0.000,998.000,0.224
8:13:8:0:0,71.780,100.000,0.000,0.000,998.000,0.224
8:13:9:0:0,71.600,100.000,0.000,0.000,999.000,0.224
8:13:10:0:0,71.960,97.590,0.000,0.000,999.000,0.224
8:13:11:0:0,74.300,92.990,0.000,4.366,999.000,0.447
8:13:12:0:0,78.620,86.118,3.809,13.657,999.000,0.447
8:13:13:0:0,83.300,78.049,0.000,7.990,999.000,0.447
8:13:14:0:0,86.540,64.267,0.465,17.187,999.000,0.447
8:13:15:0:0,87.800,56.005,2.137,28.243,998.000,0.224
8:13:16:0:0,87.980,53.012,3.809,35.396,998.000,0.224
8:13:17:0:0,88.340,52.089,61.130,24.155,997.000,0.447
8:13:18:0:0,88.340,51.768,3.345,33.631,997.000,0.447
8:13:19:0:0,87.080,53.878,26.849,33.724,997.000,0.671
8:13:20:0:0,85.460,57.795,0.093,14.586,997.000,0.671
8:13:21:0:0,83.300,63.885,35.024,19.695,997.000,0.671
8:13:22:0:0,79.880,72.723,22.297,13.099,997.000,0.447
8:13:23:0:0,77.720,81.489,6.968,3.902,997.000,0.224
8:14:0:0:0,74.300,89.102,0.000,0.000,998.000,0.447
8:14:1:0:0,73.220,89.605,0.000,0.000,998.000,0.447
8:14:2:0:0,72.140,90.114,0.000,0.000,997.000,0.224
8:14:3:0:0,71.240,89.522,0.000,0.000,997.000,0.224
8:14:4:0:0,70.340,87.830,0.000,0.000,997.000,0.224
8:14:5:0:0,69.260,85.605,0.000,0.000,996.000,0.224
8:14:6:0:0,68.540,83.961,0.000,0.000,996.000,0.447
8:14:7:0:0,67.640,83.905,0.000,0.000,996.000,0.447
8:14:8:0:0,66.740,84.383,0.000,0.000,996.000,0.224
8:14:9:0:0,66.020,84.879,0.000,0.000,996.000,0.224
8:14:10:0:0,66.740,82.262,0.000,0.000,997.000,0.447
8:14:11:0:0,70.340,73.167,29.543,6.317,997.000,0.447
8:14:12:0:0,75.380,62.927,44.222,11.892,997.000,0.671
8:14:13:0:0,80.060,54.259,54.348,15.794,997.000,0.671
8:14:14:0:0,83.480,49.175,60.944,18.395,997.000,0.671
8:14:15:0:0,85.640,45.880,61.037,22.483,997.000,0.671
8:14:16:0:0,86.900,43.518,64.289,22.761,996.000,0.671
8:14:17:0:0,87.440,41.969,65.311,22.668,996.000,0.671
8:14:18:0:0,87.440,40.913,1.301,24.619,996.000,0.671
8:14:19:0:0,86.720,41.065,1.301,23.040,995.000,0.447
8:14:20:0:0,85.280,42.997,58.250,17.652,996.000,0.447
8:14:21:0:0,83.300,47.008,45.987,16.165,996.000,0.447
8:14:22:0:0,79.700,56.312,32.237,11.334,996.000,0.447
8:14:23:0:0,77.180,68.943,11.984,4.088,996.000,0.447
8:15:0:0:0,71.960,77.603,0.000,0.000,997.000,0.671
8:15:1:0:0,70.340,78.454,0.000,0.000,997.000,0.895
8:15:2:0:0,68.720,80.337,0.000,0.000,997.000,0.895
8:15:3:0:0,66.740,81.740,0.000,0.000,997.000,0.671
8:15:4:0:0,65.120,81.103,0.000,0.000,997.000,0.447
8:15:5:0:0,63.860,76.916,0.000,0.000,998.000,0.224
8:15:6:0:0,62.420,73.827,0.000,0.000,998.000,0.224
8:15:7:0:0,60.800,72.219,0.000,0.000,998.000,0.224
8:15:8:0:0,59.540,71.611,0.000,0.000,998.000,0.224
8:15:9:0:0,58.820,71.058,0.000,0.000,999.000,0.224
8:15:10:0:0,60.800,65.777,0.000,0.000,999.000,0.224
8:15:11:0:0,66.020,55.512,38.741,5.481,999.000,0.447
8:15:12:0:0,72.500,44.473,53.977,9.848,1000.000,0.447
8:15:13:0:0,79.340,37.117,64.939,12.449,1000.000,0.224
8:15:14:0:0,83.840,32.281,72.000,13.935,1000.000,0.000
8:15:15:0:0,86.180,29.160,75.902,14.864,999.000,0.000
8:15:16:0:0,87.980,26.811,78.317,15.050,999.000,0.224
8:15:17:0:0,88.880,25.885,79.153,15.050,999.000,0.224
8:15:18:0:0,89.240,25.252,74.787,16.908,998.000,0.224
8:15:19:0:0,88.880,25.885,25.641,33.724,998.000,0.224
8:15:20:0:0,88.340,26.686,66.611,14.679,998.000,0.224
8:15:21:0:0,86.900,29.465,54.627,13.657,998.000,0.224
8:15:22:0:0,80.780,36.364,40.134,9.848,999.000,0.447
8:15:23:0:0,76.100,59.133,16.351,3.809,999.000,0.671
8:16:0:0:0,70.160,68.616,0.000,0.000,1000.000,0.447
8:16:1:0:0,68.360,73.444,0.000,0.000,1000.000,0.224
8:16:2:0:0,66.740,80.703,0.000,0.000,1000.000,0.447
8:16:3:0:0,65.480,86.485,0.000,0.000,1000.000,0.447
8:16:4:0:0,64.580,89.809,0.000,0.000,1000.000,0.895
8:16:5:0:0,63.860,91.513,0.000,0.000,1000.000,0.895
8:16:6:0:0,62.960,94.448,0.000,0.000,1000.000,0.895
8:16:7:0:0,62.420,95.648,0.000,0.000,1001.000,0.447
8:16:8:0:0,62.060,96.869,0.000,0.000,1001.000,0.224
8:16:9:0:0,61.880,97.487,0.000,0.000,1001.000,0.224
8:16:10:0:0,64.220,90.368,0.000,0.000,1002.000,0.447
8:16:11:0:0,69.080,78.352,16.815,7.154,1002.000,0.447
8:16:12:0:0,74.480,66.515,30.937,15.050,1002.000,0.671
8:16:13:0:0,79.520,57.005,15.422,22.854,1002.000,0.671
8:16:14:0:0,82.940,51.000,46.730,25.548,1002.000,0.895
8:16:15:0:0,85.460,47.328,20.346,36.883,1001.000,0.895
8:16:16:0:0,87.080,45.230,50.261,32.052,1001.000,0.895
8:16:17:0:0,88.160,43.984,24.155,40.970,1000.000,0.895
8:16:18:0:0,88.700,43.513,53.326,28.893,1000.000,0.895
8:16:19:0:0,88.520,44.038,25.641,33.631,999.000,0.895
8:16:20:0:0,87.620,45.597,22.947,27.035,999.000,0.895
8:16:21:0:0,85.640,49.179,37.347,18.859,999.000,0.671
8:16:22:0:0,82.040,57.702,26.849,11.892,999.000,0.671
8:16:23:0:0,79.880,64.672,9.290,3.623,999.000,0.447
8:17:0:0:0,75.200,74.557,0.000,0.000,1000.000,0.447
8:17:1:0:0,73.760,78.238,0.000,0.000,1000.000,0.447
8:17:2:0:0,72.500,81.628,0.000,0.000,1000.000,0.224
8:17:3:0:0,71.420,84.139,0.000,0.000,1000.000,0.224
8:17:4:0:0,70.520,86.751,0.000,0.000,1000.000,0.224
8:17:5:0:0,69.800,88.354,0.000,0.000,1000.000,0.224
8:17:6:0:0,69.080,89.992,0.000,0.000,1000.000,0.224
8:17:7:0:0,68.540,91.103,0.000,0.000,1000.000,0.224
8:17:8:0:0,68.000,92.230,0.000,0.000,1000.000,0.224
8:17:9:0:0,67.820,92.224,0.000,0.000,1000.000,0.224
8:17:10:0:0,68.720,89.417,0.000,0.000,1000.000,0.447
8:17:11:0:0,71.420,82.064,0.000,4.459,1000.000,0.447
8:17:12:0:0,75.560,71.404,0.000,4.088,1000.000,0.671
8:17:13:0:0,79.700,62.666,0.000,11.613,1000.000,0.671
8:17:14:0:0,83.480,55.421,0.000,11.706,1000.000,0.895
8:17:15:0:0,86.900,48.748,0.929,20.624,999.000,0.895
8:17:16:0:0,89.060,44.958,1.115,22.111,999.000,0.895
8:17:17:0:0,90.140,43.185,68.934,19.417,998.000,0.895
8:17:18:0:0,90.320,42.673,65.497,20.624,998.000,0.895
8:17:19:0:0,90.140,42.645,64.568,18.488,997.000,0.895
8:17:20:0:0,89.600,42.564,62.152,15.329,997.000,0.895
8:17:21:0:0,87.620,45.026,20.439,18.766,997.000,0.671
8:17:22:0:0,83.300,55.051,44.129,8.361,997.000,0.671
8:17:23:0:0,80.240,67.582,19.974,3.345,998.000,0.671
8:18:0:0:0,73.760,78.238,0.000,0.000,999.000,0.447
8:18:1:0:0,71.780,79.064,0.000,0.000,1000.000,0.224
8:18:2:0:0,70.160,78.936,0.000,0.000,1000.000,0.224
8:18:3:0:0,68.720,79.324,0.000,0.000,1000.000,0.224
8:18:4:0:0,67.640,79.240,0.000,0.000,1000.000,0.224
8:18:5:0:0,66.560,80.175,0.000,0.000,1000.000,0.224
8:18:6:0:0,65.660,81.142,0.000,0.000,1000.000,0.224
8:18:7:0:0,64.760,82.656,0.000,0.000,999.000,0.671
8:18:8:0:0,64.220,83.689,0.000,0.000,999.000,0.895
8:18:9:0:0,63.500,83.105,0.000,0.000,1000.000,0.895
8:18:10:0:0,65.300,77.040,0.000,0.000,1000.000,0.447
8:18:11:0:0,69.980,66.422,5.388,5.946,1000.000,0.224
8:18:12:0:0,75.920,51.632,38.926,10.870,1000.000,0.224
8:18:13:0:0,81.500,40.527,37.626,18.859,1000.000,0.224
8:18:14:0:0,84.380,38.149,12.542,30.658,999.000,0.224
8:18:15:0:0,86.000,38.151,36.883,31.773,999.000,0.447
8:18:16:0:0,86.720,39.010,40.692,33.445,998.000,0.447
8:18:17:0:0,87.260,39.598,39.484,34.746,998.000,0.447
8:18:18:0:0,87.260,40.885,59.179,24.526,997.000,0.447
8:18:19:0:0,86.720,43.215,46.173,25.920,997.000,0.447
8:18:20:0:0,85.820,45.617,51.654,19.881,997.000,0.447
8:18:21:0:0,84.380,49.619,8.547,18.766,997.000,0.447
8:18:22:0:0,81.500,56.556,0.929,9.476,997.000,0.671
8:18:23:0:0,79.520,67.922,5.760,3.066,996.000,0.671
8:19:0:0:0,76.280,70.151,0.000,0.000,997.000,1.118
8:19:1:0:0,74.120,74.457,0.000,0.000,997.000,1.118
8:19:2:0:0,72.320,78.122,0.000,0.000,997.000,1.118
8:19:3:0:0,71.060,80.007,0.000,0.000,997.000,1.118
8:19:4:0:0,70.160,80.444,0.000,0.000,996.000,1.118
8:19:5:0:0,69.440,80.900,0.000,0.000,996.000,1.118
8:19:6:0:0,69.080,79.352,0.000,0.000,996.000,1.342
8:19:7:0:0,68.540,77.811,0.000,0.000,995.000,1.342
8:19:8:0:0,68.000,77.271,0.000,0.000,995.000,1.118
8:19:9:0:0,67.820,76.763,0.000,0.000,995.000,0.895
8:19:10:0:0,68.540,74.887,0.000,0.000,995.000,0.447
8:19:11:0:0,70.160,79.436,0.000,3.995,996.000,0.224
8:19:12:0:0,72.140,72.879,0.000,6.875,996.000,0.224
8:19:13:0:0,73.940,71.689,2.044,18.674,996.000,0.447
8:19:14:0:0,75.740,72.772,23.597,29.729,996.000,0.447
8:19:15:0:0,78.620,69.098,0.743,18.209,995.000,0.447
8:19:16:0:0,82.040,62.177,3.345,34.003,995.000,0.671
8:19:17:0:0,84.920,55.617,5.574,38.183,994.000,0.671
8:19:18:0:0,86.540,52.159,22.111,38.926,994.000,0.671
8:19:19:0:0,86.900,50.927,31.773,31.587,993.000,0.671
8:19:20:0:0,85.820,53.039,40.134,22.390,993.000,0.671
8:19:21:0:0,84.020,57.605,37.533,18.023,993.000,0.447
8:19:22:0:0,80.240,69.698,27.221,11.148,993.000,0.447
8:19:23:0:0,77.720,80.500,9.569,3.159,993.000,0.224
8:20:0:0:0,73.400,90.163,0.000,0.000,994.000,0.224
8:20:1:0:0,72.500,91.805,0.000,0.000,994.000,0.224
8:20:2:0:0,71.600,94.063,0.000,0.000,994.000,0.224
8:20:3:0:0,70.520,96.978,0.000,0.000,994.000,0.224
8:20:4:0:0,69.620,99.387,0.000,0.000,994.000,0.224
8:20:5:0:0,68.720,100.000,0.000,0.000,994.000,0.224
8:20:6:0:0,68.000,100.000,0.000,0.000,994.000,0.224
8:20:7:0:0,67.280,100.000,0.000,0.000,994.000,0.224
8:20:8:0:0,66.380,100.000,0.000,0.000,994.000,0.224
8:20:9:0:0,65.660,100.000,0.000,0.000,994.000,0.224
8:20:10:0:0,66.560,96.323,0.000,0.000,995.000,0.224
8:20:11:0:0,69.260,89.999,32.423,5.388,996.000,0.447
8:20:12:0:0,73.400,79.685,53.326,9.104,996.000,0.447
8:20:13:0:0,78.260,61.708,65.682,11.148,996.000,0.447
8:20:14:0:0,81.860,49.566,73.486,11.984,996.000,0.671
8:20:15:0:0,84.020,42.805,75.809,13.657,996.000,0.671
8:20:16:0:0,85.640,38.593,7.432,38.833,996.000,0.671
8:20:17:0:0,86.540,36.068,21.182,41.156,995.000,0.671
8:20:18:0:0,86.900,34.740,34.095,35.303,995.000,0.671
8:20:19:0:0,86.360,34.657,77.853,11.613,995.000,0.671
8:20:20:0:0,84.920,36.290,21.275,26.663,995.000,0.671
8:20:21:0:0,82.580,39.906,64.661,9.476,996.000,0.671
8:20:22:0:0,77.720,50.569,49.610,7.154,996.000,0.447
8:20:23:0:0,74.480,64.029,20.253,2.973,997.000,0.447
8:21:0:0:0,69.440,72.150,0.000,0.000,998.000,0.224
