"rec_id","invensys_acct_id","invensys_device_type_id","instance_id","kfactor","rec_create_date","rec_last_update_date"
72,1401,5,2,0,"2006-02-28 15:13:19","2006-02-28 15:13:19"
73,1402,5,2,0,"2006-02-28 15:13:19","2006-02-28 15:13:19"
74,1403,5,1,0,"2006-02-28 15:13:19","2006-02-28 15:13:19"
75,1404,5,2,0,"2006-02-28 15:13:20","2006-02-28 15:13:20"
76,1405,5,2,0,"2006-02-28 15:13:20","2006-02-28 15:13:20"
77,1406,5,2,0,"2006-02-28 15:13:20","2006-02-28 15:13:20"
78,1407,5,2,0,"2006-02-28 15:13:20","2006-02-28 15:13:20"
79,1408,5,2,0,"2006-02-28 15:13:20","2006-02-28 15:13:20"
80,1409,5,2,0,"2006-02-28 15:13:20","2006-02-28 15:13:20"
81,1410,5,1,0,"2006-02-28 15:13:20","2006-02-28 15:13:20"
82,1411,5,1,0,"2006-02-28 15:13:20","2006-02-28 15:13:20"
83,1412,5,2,0,"2006-02-28 15:13:20","2006-02-28 15:13:20"
84,1413,5,2,0,"2006-02-28 15:13:20","2006-02-28 15:13:20"
85,1414,5,1,0,"2006-02-28 15:13:20","2006-02-28 15:13:20"
86,1415,5,2,0,"2006-02-28 15:13:20","2006-02-28 15:13:20"
87,1416,5,2,0,"2006-02-28 15:13:20","2006-02-28 15:13:20"
88,1417,5,2,0,"2006-02-28 15:13:20","2006-02-28 15:13:20"
89,1418,5,1,0,"2006-02-28 15:13:20","2006-02-28 15:13:20"
90,1419,5,2,0,"2006-02-28 15:13:20","2006-02-28 15:13:20"
91,1420,5,1,0,"2006-02-28 15:13:20","2006-02-28 15:13:20"
92,1421,5,1,0,"2006-02-28 15:13:20","2006-02-28 15:13:20"
93,1422,5,1,0,"2006-02-28 15:13:21","2006-02-28 15:13:21"
94,1423,5,1,0,"2006-02-28 15:13:21","2006-02-28 15:13:21"
95,1424,5,2,0,"2006-02-28 15:13:21","2006-02-28 15:13:21"
96,1425,5,1,0,"2006-02-28 15:13:21","2006-02-28 15:13:21"
97,1427,5,1,0,"2006-02-28 15:13:21","2006-02-28 15:13:21"
98,1428,5,2,0,"2006-02-28 15:13:21","2006-02-28 15:13:21"
99,1429,5,2,0,"2006-02-28 15:13:21","2006-02-28 15:13:21"
100,1430,5,1,0,"2006-02-28 15:13:21","2006-02-28 15:13:21"
101,1431,5,1,0,"2006-02-28 15:13:21","2006-02-28 15:13:21"
102,1432,5,1,0,"2006-02-28 15:13:21","2006-02-28 15:13:21"
103,1433,5,2,0,"2006-02-28 15:13:21","2006-02-28 15:13:21"
104,1434,5,1,0,"2006-02-28 15:13:21","2006-02-28 15:13:21"
105,1435,5,1,0,"2006-02-28 15:13:21","2006-02-28 15:13:21"
106,1436,5,1,0,"2006-02-28 15:13:21","2006-02-28 15:13:21"
107,1437,5,1,0,"2006-02-28 15:13:21","2006-02-28 15:13:21"
108,1438,5,1,0,"2006-02-28 15:13:21","2006-02-28 15:13:21"
109,1439,5,1,0,"2006-02-28 15:13:21","2006-02-28 15:13:21"
110,1440,5,1,0,"2006-02-28 15:13:21","2006-02-28 15:13:21"
111,1441,5,1,0,"2006-02-28 15:13:21","2006-02-28 15:13:21"
112,1442,5,1,0,"2006-02-28 15:13:21","2006-02-28 15:13:21"
113,1443,5,1,0,"2006-02-28 15:13:22","2006-02-28 15:13:22"
114,1444,5,1,0,"2006-02-28 15:13:22","2006-02-28 15:13:22"
115,1445,5,1,0,"2006-02-28 15:13:22","2006-02-28 15:13:22"
116,1446,5,1,0,"2006-02-28 15:13:22","2006-02-28 15:13:22"
117,1447,5,1,0,"2006-02-28 15:13:22","2006-02-28 15:13:22"
118,1448,5,1,0,"2006-02-28 15:13:22","2006-02-28 15:13:22"
119,1449,5,1,0,"2006-02-28 15:13:22","2006-02-28 15:13:22"
120,1450,5,1,0,"2006-02-28 15:13:22","2006-02-28 15:13:22"
121,1451,5,1,0,"2006-02-28 15:13:22","2006-02-28 15:13:22"
122,1452,5,1,0,"2006-02-28 15:13:22","2006-02-28 15:13:22"
123,1453,5,1,0,"2006-02-28 15:13:22","2006-02-28 15:13:22"
124,1454,5,1,0,"2006-02-28 15:13:22","2006-02-28 15:13:22"
125,1455,5,1,0,"2006-02-28 15:13:22","2006-02-28 15:13:22"
126,1456,5,1,0,"2006-02-28 15:13:22","2006-02-28 15:13:22"
127,1457,5,1,0,"2006-02-28 15:13:22","2006-02-28 15:13:22"
128,1459,5,1,0,"2006-02-28 15:13:22","2006-02-28 15:13:22"
129,1460,5,1,0,"2006-02-28 15:13:22","2006-02-28 15:13:22"
