157,   139949.802000+30d;
158,   139921.236000+30d;
159,   139832.364000+30d;
160,   139668.006000+30d;
161,   139597.074000+30d;
162,   139567.542000+30d;
163,   139483.914000+30d;
164,   139358.058000+30d;
165,   139091.166000+30d;
166,   138701.040000+30d;
167,   138290.904000+30d;
168,   138313.536000+30d;
169,   138631.350000+30d;
170,   138738.576000+30d;
171,   138905.832000+30d;
172,   138868.296000+30d;
173,   138879.060000+30d;
174,   138907.488000+30d;
175,   138916.182000+30d;
176,   138928.050000+30d;
177,   138876.852000+30d;
178,   138910.524000+30d;
179,   138910.524000+30d;
180,   138967.242000+30d;
181,   139095.168000+30d;
182,   139149.126000+30d;
183,   139276.638000+30d;
184,   139410.222000+30d;
185,   139577.754000+30d;
186,   139614.876000+30d;
187,   139848.096000+30d;
188,   140041.848000+30d;
189,   140282.382000+30d;
190,   140278.380000+30d;
191,   140498.904000+30d;
192,   140642.562000+30d;
193,   140776.560000+30d;
194,   140931.534000+30d;
195,   141122.802000+30d;
196,   140989.080000+30d;
197,   141109.554000+30d;
198,   141330.354000+30d;
199,   141335.460000+30d;
200,   141248.934000+30d;
201,   141234.996000+30d;
202,   141048.558000+30d;
203,   140899.794000+30d;
204,   140980.938000+30d;
205,   140978.316000+30d;
206,   140935.536000+30d;
207,   140804.712000+30d;
208,   140754.480000+30d;
209,   140659.950000+30d;
210,   140616.204000+30d;
211,   140619.516000+30d;
212,   140546.100000+30d;
213,   140457.918000+30d;
214,   140397.888000+30d;
215,   140410.722000+30d;
216,   140459.574000+30d;
217,   140243.052000+30d;
218,   140034.396000+30d;
219,   139949.940000+30d;
220,   139869.210000+30d;
221,   139482.120000+30d;
222,   139237.308000+30d;
223,   139472.874000+30d;
224,   139603.422000+30d;
225,   139538.700000+30d;
226,   139420.572000+30d;
227,   139479.912000+30d;
228,   139603.008000+30d;
229,   139411.740000+30d;
230,   139421.262000+30d;
231,   139465.284000+30d;
232,   139579.410000+30d;
233,   139584.930000+30d;
234,   139553.742000+30d;
235,   139664.832000+30d;
236,   139847.682000+30d;
237,   139943.316000+30d;
238,   139997.550000+30d;
239,   140122.992000+30d;
240,   140203.584000+30d;
241,   140444.256000+30d;
242,   140492.832000+30d;
243,   140519.190000+30d;
244,   140724.810000+30d;
245,   140862.258000+30d;
246,   140981.490000+30d;
247,   141111.762000+30d;
248,   141174.138000+30d;
249,   140957.478000+30d;
250,   140989.080000+30d;
251,   141112.314000+30d;
252,   141163.374000+30d;
253,   141196.218000+30d;
254,   141238.308000+30d;
255,   141210.846000+30d;
256,   141244.794000+30d;
257,   141144.192000+30d;
258,   140944.920000+30d;
259,   140771.316000+30d;
260,   140630.556000+30d;
261,   140248.296000+30d;
262,   139535.112000+30d;
263,   138944.610000+30d;
264,   138719.808000+30d;
265,   138969.864000+30d;
266,   139083.714000+30d;
267,   139106.622000+30d;
268,   139131.876000+30d;
269,   139184.316000+30d;
270,   139160.028000+30d;
271,   139243.932000+30d;
272,   139219.782000+30d;
273,   139083.714000+30d;
274,   139083.714000+30d;
275,   139072.674000+30d;
276,   139125.666000+30d;
277,   139125.390000+30d;
278,   139171.482000+30d;
279,   139318.038000+30d;
280,   139437.408000+30d;
281,   139689.948000+30d;
282,   139786.548000+30d;
283,   139941.384000+30d;
284,   140121.198000+30d;
285,   140500.422000+30d;
286,   140786.220000+30d;
287,   140969.622000+30d;
288,   141259.008000+30d;
289,   141190.974000+30d;
290,   141027.030000+30d;
291,   141082.230000+30d;
292,   141161.994000+30d;
293,   141389.004000+30d;
294,   141710.958000+30d;
295,   141757.050000+30d;
296,   141742.146000+30d;
297,   141625.260000+30d;
298,   141612.702000+30d;
299,   141738.558000+30d;
300,   141681.840000+30d;
301,   141791.550000+30d;
302,   141855.030000+30d;
303,   141826.602000+30d;
304,   141756.498000+30d;
305,   141785.616000+30d;
306,   141727.794000+30d;
307,   141681.840000+30d;
308,   141699.090000+30d;
309,   141654.654000+30d;
310,   141600.834000+30d;
311,   141590.622000+30d;
312,   141559.296000+30d;
313,   141606.630000+30d;
314,   141564.816000+30d;
315,   141461.454000+30d;
316,   141299.304000+30d;
317,   141173.034000+30d;
318,   141105.414000+30d;
319,   140899.104000+30d;
320,   140813.130000+30d;
321,   140645.598000+30d;
322,   140812.716000+30d;
323,   140642.562000+30d;
324,   140642.562000+30d;
325,   140519.052000+30d;
326,   140305.704000+30d;
327,   140295.492000+30d;
328,   140124.096000+30d;
329,   140122.992000+30d;
330,   140147.280000+30d;
331,   140153.352000+30d;
332,   140061.444000+30d;
333,   140002.104000+30d;
334,   139949.802000+30d;
335,   139795.380000+30d;
336,   139822.014000+30d;
337,   139761.432000+30d;
338,   139677.252000+30d;
339,   139759.224000+30d;
340,   139776.612000+30d;
341,   139854.720000+30d;
342,   139902.606000+30d;
343,   139965.120000+30d;
344,   140051.094000+30d;
345,   140143.140000+30d;
346,   140154.594000+30d;
347,   140206.482000+30d;
348,   140235.186000+30d;
349,   140341.032000+30d;
350,   140372.082000+30d;
351,   140284.038000+30d;
352,   140123.130000+30d;
353,   140117.472000+30d;
354,   139981.128000+30d;
355,   139859.412000+30d;
356,   139654.206000+30d;
357,   139184.730000+30d;
358,   138752.652000+30d;
359,   138673.854000+30d;
360,   139077.090000+30d;
361,   139211.778000+30d;
362,   139271.946000+30d;
363,   139371.444000+30d;
364,   139430.232000+30d;
365,   139572.510000+30d;
366,   139603.422000+30d;
367,   139603.422000+30d;
368,   139603.422000+30d;
369,   139614.600000+30d;
370,   139696.572000+30d;
371,   139724.586000+30d;
372,   139778.268000+30d;
373,   139827.534000+30d;
374,   139957.530000+30d;
375,   140081.730000+30d;
376,   140267.478000+30d;
377,   140487.864000+30d;
378,   140512.014000+30d;
379,   140611.788000+30d;
380,   140681.754000+30d;
381,   140891.376000+30d;
382,   141113.694000+30d;
383,   141166.272000+30d;
384,   141290.472000+30d;
385,   141363.198000+30d;
386,   141432.750000+30d;
387,   141586.206000+30d;
388,   141586.620000+30d;
389,   141525.348000+30d;
390,   141624.708000+30d;
391,   141588.966000+30d;
392,   141681.840000+30d;
393,   141670.524000+30d;
394,   141631.470000+30d;
395,   141661.140000+30d;
396,   141681.702000+30d;
397,   141681.840000+30d;
398,   141586.206000+30d;
399,   141478.014000+30d;
400,   141473.046000+30d;
401,   141322.074000+30d;
402,   141249.624000+30d;
403,   141144.468000+30d;
404,   140935.122000+30d;
405,   140594.952000+30d;
406,   140401.614000+30d;
407,   139945.800000+30d;
408,   139533.180000+30d;
409,   139141.122000+30d;
410,   138854.082000+30d;
411,   138308.844000+30d;
412,   137994.659400+30d;
413,   137592.072000+30d;
414,   137580.907800+30d;
415,   137737.096200+30d;
416,   138090.666000+30d;
417,   138390.954000+30d;
418,   138389.988000+30d;
419,   138507.426000+30d;
420,   138463.818000+30d;
421,   138449.052000+30d;
422,   138387.642000+30d;
423,   138395.784000+30d;
424,   138411.516000+30d;
425,   138192.096000+30d;
426,   138162.426000+30d;
427,   138390.402000+30d;
428,   138342.378000+30d;
429,   138459.402000+30d;
430,   138526.470000+30d;
431,   138706.974000+30d;
432,   138740.232000+30d;
433,   138792.534000+30d;
434,   138799.020000+30d;
435,   138769.212000+30d;
436,   138862.086000+30d;
437,   138832.140000+30d;
438,   138815.442000+30d;
439,   138805.368000+30d;
440,   138884.166000+30d;
441,   139003.950000+30d;
442,   139081.506000+30d;
443,   139204.878000+30d;
444,   139346.880000+30d;
445,   139268.772000+30d;
446,   139256.904000+30d;
447,   139309.620000+30d;
448,   139158.096000+30d;
449,   139133.946000+30d;
450,   138949.578000+30d;
451,   138621.690000+30d;
452,   138343.068000+30d;
453,   138129.444000+30d;
454,   137631.650400+30d;
455,   137042.418000+30d;
456,   136878.681000+30d;
457,   137100.391800+30d;
458,   137196.950400+30d;
459,   137297.166000+30d;
460,   137340.912000+30d;
461,   137476.635000+30d;
462,   137524.921200+30d;
463,   137501.626800+30d;
464,   137652.985200+30d;
465,   137782.705200+30d;
466,   137987.083200+30d;
467,   138244.950000+30d;
468,   138469.890000+30d;
469,   138709.596000+30d;
470,   138787.566000+30d;
471,   139226.958000+30d;
472,   139357.782000+30d;
473,   139512.066000+30d;
474,   139862.586000+30d;
475,   140122.716000+30d;
476,   140292.456000+30d;
477,   140410.998000+30d;
478,   140513.946000+30d;
479,   140694.036000+30d;
480,   140857.980000+30d;
481,   140853.150000+30d;
482,   140853.288000+30d;
483,   140775.732000+30d;
484,   140838.660000+30d;
485,   140954.442000+30d;
486,   141078.918000+30d;
487,   140883.786000+30d;
488,   140962.722000+30d;
489,   141007.158000+30d;
490,   141069.810000+30d;
491,   141046.902000+30d;
492,   141056.424000+30d;
493,   141118.800000+30d;
494,   140989.080000+30d;
495,   140966.310000+30d;
496,   140922.702000+30d;
497,   140816.994000+30d;
498,   140765.244000+30d;
499,   140647.392000+30d;
500,   140539.890000+30d;
501,   140191.716000+30d;
502,   139873.626000+30d;
503,   139402.908000+30d;
504,   139074.330000+30d;
505,   138578.634000+30d;
506,   138099.222000+30d;
507,   137802.825600+30d;
508,   137302.437600+30d;
509,   137238.736800+30d;
510,   137072.888400+30d;
511,   136977.144000+30d;
512,   137151.272400+30d;
513,   137336.896200+30d;
514,   137506.774200+30d;
515,   137693.460600+30d;
516,   137744.769000+30d;
517,   137546.987400+30d;
518,   137437.208400+30d;
519,   137246.713200+30d;
520,   137235.769800+30d;
521,   137132.021400+30d;
522,   137047.358400+30d;
523,   137098.170000+30d;
524,   137203.050000+30d;
525,   137205.244200+30d;
526,   137530.689600+30d;
527,   137318.790600+30d;
528,   137428.887000+30d;
529,   137482.582800+30d;
530,   137489.786400+30d;
531,   137261.065200+30d;
532,   137331.376200+30d;
533,   137275.431000+30d;
534,   137307.736800+30d;
535,   137301.871800+30d;
536,   137442.549000+30d;
537,   137566.390200+30d;
538,   137707.260600+30d;
539,   137875.468800+30d;
540,   137871.328800+30d;
541,   137808.497400+30d;
542,   137890.331400+30d;
543,   138020.010000+30d;
544,   137864.208000+30d;
545,   137529.544200+30d;
546,   137422.815000+30d;
547,   137206.030800+30d;
548,   137123.700000+30d;
549,   137362.509000+30d;
550,   137381.373600+30d;
551,   137400.238200+30d;
552,   137419.102800+30d;
553,   137437.967400+30d;
554,   137456.832000+30d;
555,   137475.696600+30d;
556,   137494.561200+30d;
557,   137513.425800+30d;
558,   137532.290400+30d;
559,   137551.168800+30d;
560,   137570.019600+30d;
561,   137588.898000+30d;
562,   137607.748800+30d;
563,   137626.627200+30d;
564,   137645.478000+30d;
565,   137664.356400+30d;
566,   137683.207200+30d;
567,   137702.085600+30d;
568,   137720.950200+30d;
569,   137739.814800+30d;
570,   137758.679400+30d;
571,   137777.544000+30d;
572,   137796.408600+30d;
573,   137815.273200+30d;
574,   137834.137800+30d;
575,   137853.002400+30d;
