# file...... ../data_powRecorderA.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... meter 13
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_power_A
2017-03-28 00:00:06.330000 PDT,+1261.87+25.8419d
2017-03-28 00:00:06.340000 PDT,+1264.64+25.8419d
2017-03-28 00:00:06.350000 PDT,+1267.4+25.8419d
2017-03-28 00:00:06.360000 PDT,+1270.17+25.8419d
2017-03-28 00:00:06.370000 PDT,+1272.93+25.8419d
2017-03-28 00:00:06.380000 PDT,+1275.7+25.8419d
2017-03-28 00:00:06.390000 PDT,+1278.46+25.8419d
2017-03-28 00:00:06.400000 PDT,+1281.22+25.8419d
2017-03-28 00:00:06.410000 PDT,+1283.99+25.8419d
2017-03-28 00:00:06.420000 PDT,+1286.75+25.8419d
2017-03-28 00:00:06.430000 PDT,+1289.51+25.8419d
2017-03-28 00:00:06.440000 PDT,+1292.27+25.8419d
2017-03-28 00:00:06.450000 PDT,+1295.04+25.8419d
2017-03-28 00:00:06.460000 PDT,+1297.8+25.8419d
2017-03-28 00:00:06.470000 PDT,+1300.56+25.8419d
2017-03-28 00:00:06.480000 PDT,+1303.32+25.8419d
2017-03-28 00:00:06.490000 PDT,+1306.08+25.8419d
2017-03-28 00:00:06.500000 PDT,+1308.84+25.8419d
2017-03-28 00:00:06.510000 PDT,+1311.6+25.8419d
2017-03-28 00:00:06.520000 PDT,+1314.36+25.8419d
2017-03-28 00:00:06.530000 PDT,+1317.12+25.8419d
2017-03-28 00:00:06.540000 PDT,+1319.88+25.8419d
2017-03-28 00:00:06.550000 PDT,+1322.64+25.8419d
2017-03-28 00:00:06.560000 PDT,+1325.4+25.8419d
2017-03-28 00:00:06.570000 PDT,+1328.16+25.8419d
2017-03-28 00:00:06.580000 PDT,+1330.92+25.8419d
2017-03-28 00:00:06.590000 PDT,+1333.67+25.8419d
2017-03-28 00:00:06.600000 PDT,+1336.43+25.8419d
2017-03-28 00:00:06.610000 PDT,+1339.19+25.8419d
2017-03-28 00:00:06.620000 PDT,+1341.95+25.8419d
2017-03-28 00:00:06.630000 PDT,+1344.7+25.8419d
2017-03-28 00:00:06.640000 PDT,+1347.46+25.8419d
2017-03-28 00:00:06.650000 PDT,+1350.21+25.8419d
2017-03-28 00:00:06.660000 PDT,+1352.97+25.8419d
2017-03-28 00:00:06.670000 PDT,+1355.72+25.8419d
2017-03-28 00:00:06.680000 PDT,+1358.48+25.8419d
2017-03-28 00:00:06.690000 PDT,+1361.23+25.8419d
2017-03-28 00:00:06.700000 PDT,+1363.99+25.8419d
2017-03-28 00:00:06.710000 PDT,+1366.74+25.8419d
2017-03-28 00:00:06.720000 PDT,+1369.5+25.8419d
2017-03-28 00:00:06.730000 PDT,+1372.25+25.8419d
2017-03-28 00:00:06.740000 PDT,+1375+25.8419d
2017-03-28 00:00:06.750000 PDT,+1377.76+25.8419d
2017-03-28 00:00:06.760000 PDT,+1380.51+25.8419d
2017-03-28 00:00:06.770000 PDT,+1383.26+25.8419d
2017-03-28 00:00:06.780000 PDT,+1386.02+25.8419d
2017-03-28 00:00:06.790000 PDT,+1388.77+25.8419d
2017-03-28 00:00:06.800000 PDT,+1391.52+25.8419d
2017-03-28 00:00:06.810000 PDT,+1394.27+25.8419d
2017-03-28 00:00:06.820000 PDT,+1397.03+25.8419d
2017-03-28 00:00:06.830000 PDT,+1399.78+25.8419d
2017-03-28 00:00:06.840000 PDT,+1402.53+25.8419d
2017-03-28 00:00:06.850000 PDT,+1405.28+25.8419d
