# timestamp,measured_power_A
2009-01-01 00:00:05.048400 PST,+2473.6816-55.402387j
2009-01-01 00:00:05.048600 PST,+2474.026-56.340725j
2009-01-01 00:00:05.048800 PST,+2474.3784-57.270773j
2009-01-01 00:00:05.049000 PST,+2474.7385-58.192396j
2009-01-01 00:00:05.049200 PST,+2475.1055-59.105461j
2009-01-01 00:00:05.049400 PST,+2475.479-60.009842j
2009-01-01 00:00:05.049600 PST,+2475.8584-60.90542j
2009-01-01 00:00:05.049800 PST,+2476.2433-61.792078j
2009-01-01 00:00:05.050000 PST,+2476.6331-62.669709j
2009-01-01 00:00:05.050200 PST,+2477.0272-63.538208j
2009-01-01 00:00:05.050400 PST,+2477.4252-64.397478j
2009-01-01 00:00:05.050600 PST,+2477.8266-65.247428j
2009-01-01 00:00:05.050800 PST,+2478.2308-66.087972j
2009-01-01 00:00:05.051000 PST,+2478.6373-66.91903j
2009-01-01 00:00:05.051200 PST,+2479.0456-67.74053j
2009-01-01 00:00:05.051400 PST,+2479.4553-68.552403j
2009-01-01 00:00:05.051600 PST,+2479.8659-69.354589j
2009-01-01 00:00:05.051800 PST,+2480.2768-70.147031j
2009-01-01 00:00:05.052000 PST,+2480.6877-70.929681j
2009-01-01 00:00:05.052200 PST,+2481.098-71.702495j
2009-01-01 00:00:05.052400 PST,+2481.5074-72.465437j
2009-01-01 00:00:05.052600 PST,+2481.9153-73.218475j
2009-01-01 00:00:05.052800 PST,+2482.3214-73.961583j
2009-01-01 00:00:05.053000 PST,+2482.7252-74.694743j
2009-01-01 00:00:05.053200 PST,+2483.1263-75.41794j
2009-01-01 00:00:05.053400 PST,+2483.5244-76.131168j
2009-01-01 00:00:05.053600 PST,+2483.919-76.834423j
2009-01-01 00:00:05.053800 PST,+2484.3097-77.52771j
2009-01-01 00:00:05.054000 PST,+2484.6962-78.211038j
2009-01-01 00:00:05.054200 PST,+2485.0782-78.884421j
2009-01-01 00:00:05.054400 PST,+2485.4553-79.547879j
2009-01-01 00:00:05.054600 PST,+2485.8271-80.201437j
2009-01-01 00:00:05.054800 PST,+2486.1934-80.845127j
2009-01-01 00:00:05.055000 PST,+2486.5538-81.478983j
2009-01-01 00:00:05.055200 PST,+2486.908-82.103046j
2009-01-01 00:00:05.055400 PST,+2487.2559-82.717361j
2009-01-01 00:00:05.055600 PST,+2487.597-83.321978j
2009-01-01 00:00:05.055800 PST,+2487.9312-83.916952j
2009-01-01 00:00:05.056000 PST,+2488.2583-84.502343j
2009-01-01 00:00:05.056200 PST,+2488.5779-85.078212j
2009-01-01 00:00:05.056400 PST,+2488.8898-85.644629j
2009-01-01 00:00:05.056600 PST,+2489.194-86.201664j
2009-01-01 00:00:05.056800 PST,+2489.4901-86.749394j
2009-01-01 00:00:05.057000 PST,+2489.778-87.287897j
2009-01-01 00:00:05.057200 PST,+2490.0576-87.817256j
2009-01-01 00:00:05.057400 PST,+2490.3287-88.337559j
2009-01-01 00:00:05.057600 PST,+2490.5911-88.848894j
2009-01-01 00:00:05.057800 PST,+2490.8448-89.351354j
2009-01-01 00:00:05.058000 PST,+2491.0896-89.845036j
2009-01-01 00:00:05.058200 PST,+2491.3255-90.330038j
2009-01-01 00:00:05.058400 PST,+2491.5523-90.806461j
2009-01-01 00:00:05.058600 PST,+2491.77-91.27441j
2009-01-01 00:00:05.058800 PST,+2491.9785-91.733991j
2009-01-01 00:00:05.059000 PST,+2492.1777-92.185313j
2009-01-01 00:00:05.059200 PST,+2492.3677-92.628486j
2009-01-01 00:00:05.059400 PST,+2492.5484-93.063622j
2009-01-01 00:00:05.059600 PST,+2492.7199-93.490837j
2009-01-01 00:00:05.059800 PST,+2492.882-93.910247j
2009-01-01 00:00:05.060000 PST,+2493.0348-94.321967j
2009-01-01 00:00:05.060200 PST,+2493.1784-94.726118j
2009-01-01 00:00:05.060400 PST,+2493.3127-95.122819j
2009-01-01 00:00:05.060600 PST,+2493.4379-95.512191j
2009-01-01 00:00:05.060800 PST,+2493.5539-95.894355j
2009-01-01 00:00:05.061000 PST,+2493.6608-96.269435j
2009-01-01 00:00:05.061200 PST,+2493.7588-96.637552j
2009-01-01 00:00:05.061400 PST,+2493.8478-96.99883j
2009-01-01 00:00:05.061600 PST,+2493.928-97.353392j
2009-01-01 00:00:05.061800 PST,+2493.9995-97.701363j
2009-01-01 00:00:05.062000 PST,+2494.0624-98.042865j
2009-01-01 00:00:05.062200 PST,+2494.1168-98.378022j
2009-01-01 00:00:05.062400 PST,+2494.1629-98.706958j
2009-01-01 00:00:05.062600 PST,+2494.2007-99.029795j
2009-01-01 00:00:05.062800 PST,+2494.2304-99.346655j
2009-01-01 00:00:05.063000 PST,+2494.2522-99.65766j
2009-01-01 00:00:05.063200 PST,+2494.2663-99.96293j
2009-01-01 00:00:05.063400 PST,+2494.2727-100.26258j
2009-01-01 00:00:05.063600 PST,+2494.2717-100.55674j
2009-01-01 00:00:05.063800 PST,+2494.2634-100.84552j
2009-01-01 00:00:05.064000 PST,+2494.248-101.12904j
2009-01-01 00:00:05.064200 PST,+2494.2258-101.40741j
2009-01-01 00:00:05.064400 PST,+2494.1968-101.68075j
2009-01-01 00:00:05.064600 PST,+2494.1613-101.94916j
2009-01-01 00:00:05.064800 PST,+2494.1196-102.21277j
2009-01-01 00:00:05.065000 PST,+2494.0717-102.47166j
2009-01-01 00:00:05.065200 PST,+2494.0179-102.72597j
2009-01-01 00:00:05.065400 PST,+2493.9585-102.97578j
2009-01-01 00:00:05.065600 PST,+2493.8936-103.2212j
2009-01-01 00:00:05.065800 PST,+2493.8235-103.46234j
2009-01-01 00:00:05.066000 PST,+2493.7483-103.69928j
