# file...... ../data_vfd_in_rec_curr_B.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... vfd 20
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,current_in_B
2017-03-28 00:00:12.280000 PDT,-0.330288-0.22409j
2017-03-28 00:00:12.290000 PDT,-0.329476-0.223539j
2017-03-28 00:00:12.300000 PDT,-0.328663-0.222988j
2017-03-28 00:00:12.310000 PDT,-0.327851-0.222437j
2017-03-28 00:00:12.320000 PDT,-0.327039-0.221886j
2017-03-28 00:00:12.330000 PDT,-0.326228-0.221335j
2017-03-28 00:00:12.340000 PDT,-0.325417-0.220785j
2017-03-28 00:00:12.350000 PDT,-0.324606-0.220235j
2017-03-28 00:00:12.360000 PDT,-0.323796-0.219685j
2017-03-28 00:00:12.370000 PDT,-0.322986-0.219136j
2017-03-28 00:00:12.380000 PDT,-0.322177-0.218587j
2017-03-28 00:00:12.390000 PDT,-0.321368-0.218039j
2017-03-28 00:00:12.400000 PDT,-0.320561-0.217491j
2017-03-28 00:00:12.410000 PDT,-0.319753-0.216943j
2017-03-28 00:00:12.420000 PDT,-0.318947-0.216396j
2017-03-28 00:00:12.430000 PDT,-0.318141-0.215849j
2017-03-28 00:00:12.440000 PDT,-0.317336-0.215303j
2017-03-28 00:00:12.450000 PDT,-0.316531-0.214757j
2017-03-28 00:00:12.460000 PDT,-0.315728-0.214212j
2017-03-28 00:00:12.470000 PDT,-0.314924-0.213667j
2017-03-28 00:00:12.480000 PDT,-0.314122-0.213123j
2017-03-28 00:00:12.490000 PDT,-0.313321-0.212579j
2017-03-28 00:00:12.500000 PDT,-0.31252-0.212036j
2017-03-28 00:00:12.510000 PDT,-0.31172-0.211493j
2017-03-28 00:00:12.520000 PDT,-0.31092-0.210951j
2017-03-28 00:00:12.530000 PDT,-0.310122-0.210409j
2017-03-28 00:00:12.540000 PDT,-0.309324-0.209867j
2017-03-28 00:00:12.550000 PDT,-0.308527-0.209327j
2017-03-28 00:00:12.560000 PDT,-0.30773-0.208786j
2017-03-28 00:00:12.570000 PDT,-0.306934-0.208246j
2017-03-28 00:00:12.580000 PDT,-0.306139-0.207707j
2017-03-28 00:00:12.590000 PDT,-0.305345-0.207168j
2017-03-28 00:00:12.600000 PDT,-0.304551-0.206629j
2017-03-28 00:00:12.610000 PDT,-0.303758-0.206091j
2017-03-28 00:00:12.620000 PDT,-0.302965-0.205554j
2017-03-28 00:00:12.630000 PDT,-0.302173-0.205016j
2017-03-28 00:00:12.640000 PDT,-0.301382-0.204479j
2017-03-28 00:00:12.650000 PDT,-0.300591-0.203943j
2017-03-28 00:00:12.660000 PDT,-0.299801-0.203407j
2017-03-28 00:00:12.670000 PDT,-0.299011-0.202871j
2017-03-28 00:00:12.680000 PDT,-0.298222-0.202336j
2017-03-28 00:00:12.690000 PDT,-0.297433-0.201801j
2017-03-28 00:00:12.700000 PDT,-0.296645-0.201266j
2017-03-28 00:00:12.710000 PDT,-0.295857-0.200731j
2017-03-28 00:00:12.720000 PDT,-0.295069-0.200197j
2017-03-28 00:00:12.730000 PDT,-0.294282-0.199663j
2017-03-28 00:00:12.740000 PDT,-0.293496-0.199129j
2017-03-28 00:00:12.750000 PDT,-0.292709-0.198596j
2017-03-28 00:00:12.760000 PDT,-0.291923-0.198063j
2017-03-28 00:00:12.770000 PDT,-0.291138-0.19753j
2017-03-28 00:00:12.780000 PDT,-0.290352-0.196997j
2017-03-28 00:00:12.790000 PDT,-0.289567-0.196464j
2017-03-28 00:00:12.800000 PDT,-0.288782-0.195932j
2017-03-28 00:00:12.810000 PDT,-0.287998-0.195399j
2017-03-28 00:00:12.820000 PDT,-0.287213-0.194867j
2017-03-28 00:00:12.830000 PDT,-0.286429-0.194335j
2017-03-28 00:00:12.840000 PDT,-0.285645-0.193803j
2017-03-28 00:00:12.850000 PDT,-0.284861-0.193272j
2017-03-28 00:00:12.860000 PDT,-0.284077-0.19274j
2017-03-28 00:00:12.870000 PDT,-0.283294-0.192208j
2017-03-28 00:00:12.880000 PDT,-0.28251-0.191677j
2017-03-28 00:00:12.890000 PDT,-0.281727-0.191145j
2017-03-28 00:00:12.900000 PDT,-0.280943-0.190614j
2017-03-28 00:00:12.910000 PDT,-0.28016-0.190082j
2017-03-28 00:00:12.920000 PDT,-0.279377-0.189551j
2017-03-28 00:00:12.930000 PDT,-0.278594-0.189019j
2017-03-28 00:00:12.940000 PDT,-0.27781-0.188488j
2017-03-28 00:00:12.950000 PDT,-0.277027-0.187957j
2017-03-28 00:00:12.960000 PDT,-0.276244-0.187425j
2017-03-28 00:00:12.970000 PDT,-0.27546-0.186894j
