# file...... ../data_vfd_in_rec_pow_A.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... vfd 20
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,power_in_A
2017-03-28 00:00:05.780000 PDT,+999.078+483.875j
2017-03-28 00:00:05.790000 PDT,+1001.55+485.072j
2017-03-28 00:00:05.800000 PDT,+1004.02+486.269j
2017-03-28 00:00:05.810000 PDT,+1006.49+487.466j
2017-03-28 00:00:05.820000 PDT,+1008.97+488.664j
2017-03-28 00:00:05.830000 PDT,+1011.44+489.862j
2017-03-28 00:00:05.840000 PDT,+1013.91+491.061j
2017-03-28 00:00:05.850000 PDT,+1016.39+492.259j
2017-03-28 00:00:05.860000 PDT,+1018.86+493.459j
2017-03-28 00:00:05.870000 PDT,+1021.34+494.658j
2017-03-28 00:00:05.880000 PDT,+1023.82+495.858j
2017-03-28 00:00:05.890000 PDT,+1026.3+497.058j
2017-03-28 00:00:05.900000 PDT,+1028.77+498.258j
2017-03-28 00:00:05.910000 PDT,+1031.25+499.459j
2017-03-28 00:00:05.920000 PDT,+1033.73+500.66j
2017-03-28 00:00:05.930000 PDT,+1036.21+501.861j
2017-03-28 00:00:05.940000 PDT,+1038.69+503.063j
2017-03-28 00:00:05.950000 PDT,+1041.18+504.265j
2017-03-28 00:00:05.960000 PDT,+1043.66+505.467j
2017-03-28 00:00:05.970000 PDT,+1046.14+506.669j
2017-03-28 00:00:05.980000 PDT,+1048.62+507.872j
2017-03-28 00:00:05.990000 PDT,+1051.11+509.074j
2017-03-28 00:00:06.000000 PDT,+1053.59+510.277j
2017-03-28 00:00:06.010000 PDT,+1056.08+511.481j
2017-03-28 00:00:06.020000 PDT,+1058.56+512.684j
2017-03-28 00:00:06.030000 PDT,+1061.05+513.888j
2017-03-28 00:00:06.040000 PDT,+1063.53+515.091j
2017-03-28 00:00:06.050000 PDT,+1066.02+516.295j
2017-03-28 00:00:06.060000 PDT,+1068.5+517.499j
2017-03-28 00:00:06.070000 PDT,+1070.99+518.704j
2017-03-28 00:00:06.080000 PDT,+1073.48+519.908j
2017-03-28 00:00:06.090000 PDT,+1075.96+521.113j
2017-03-28 00:00:06.100000 PDT,+1078.45+522.317j
2017-03-28 00:00:06.110000 PDT,+1080.94+523.522j
2017-03-28 00:00:06.120000 PDT,+1083.43+524.727j
2017-03-28 00:00:06.130000 PDT,+1085.91+525.932j
2017-03-28 00:00:06.140000 PDT,+1088.4+527.137j
2017-03-28 00:00:06.150000 PDT,+1090.89+528.342j
2017-03-28 00:00:06.160000 PDT,+1093.38+529.547j
2017-03-28 00:00:06.170000 PDT,+1095.87+530.753j
2017-03-28 00:00:06.180000 PDT,+1098.36+531.958j
2017-03-28 00:00:06.190000 PDT,+1100.84+533.163j
2017-03-28 00:00:06.200000 PDT,+1103.33+534.369j
2017-03-28 00:00:06.210000 PDT,+1105.82+535.574j
2017-03-28 00:00:06.220000 PDT,+1108.31+536.779j
2017-03-28 00:00:06.230000 PDT,+1110.8+537.985j
2017-03-28 00:00:06.240000 PDT,+1113.29+539.19j
2017-03-28 00:00:06.250000 PDT,+1115.78+540.396j
2017-03-28 00:00:06.260000 PDT,+1118.27+541.601j
2017-03-28 00:00:06.270000 PDT,+1120.76+542.807j
2017-03-28 00:00:06.280000 PDT,+1123.24+544.012j
2017-03-28 00:00:06.290000 PDT,+1125.73+545.217j
2017-03-28 00:00:06.300000 PDT,+1128.22+546.423j
2017-03-28 00:00:06.310000 PDT,+1130.71+547.628j
2017-03-28 00:00:06.320000 PDT,+1133.2+548.833j
2017-03-28 00:00:06.330000 PDT,+1135.69+550.038j
2017-03-28 00:00:06.340000 PDT,+1138.18+551.244j
2017-03-28 00:00:06.350000 PDT,+1140.66+552.449j
2017-03-28 00:00:06.360000 PDT,+1143.15+553.653j
2017-03-28 00:00:06.370000 PDT,+1145.64+554.858j
2017-03-28 00:00:06.380000 PDT,+1148.13+556.063j
2017-03-28 00:00:06.390000 PDT,+1150.61+557.268j
2017-03-28 00:00:06.400000 PDT,+1153.1+558.472j
2017-03-28 00:00:06.410000 PDT,+1155.59+559.677j
2017-03-28 00:00:06.420000 PDT,+1158.07+560.881j
2017-03-28 00:00:06.430000 PDT,+1160.56+562.085j
2017-03-28 00:00:06.440000 PDT,+1163.05+563.289j
2017-03-28 00:00:06.450000 PDT,+1165.53+564.493j
