# file...... ../data_vfd_in_rec_curr_A.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... vfd 20
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,current_in_A
2017-03-28 00:00:06.570000 PDT,+0.284616-0.137856j
2017-03-28 00:00:06.580000 PDT,+0.285207-0.138142j
2017-03-28 00:00:06.590000 PDT,+0.285798-0.138429j
2017-03-28 00:00:06.600000 PDT,+0.286389-0.138715j
2017-03-28 00:00:06.610000 PDT,+0.286979-0.139001j
2017-03-28 00:00:06.620000 PDT,+0.28757-0.139287j
2017-03-28 00:00:06.630000 PDT,+0.288161-0.139573j
2017-03-28 00:00:06.640000 PDT,+0.288752-0.13986j
2017-03-28 00:00:06.650000 PDT,+0.289342-0.140146j
2017-03-28 00:00:06.660000 PDT,+0.289933-0.140432j
2017-03-28 00:00:06.670000 PDT,+0.290523-0.140718j
2017-03-28 00:00:06.680000 PDT,+0.291113-0.141004j
2017-03-28 00:00:06.690000 PDT,+0.291704-0.14129j
2017-03-28 00:00:06.700000 PDT,+0.292294-0.141576j
2017-03-28 00:00:06.710000 PDT,+0.292884-0.141861j
2017-03-28 00:00:06.720000 PDT,+0.293474-0.142147j
2017-03-28 00:00:06.730000 PDT,+0.294065-0.142433j
2017-03-28 00:00:06.740000 PDT,+0.294655-0.142719j
2017-03-28 00:00:06.750000 PDT,+0.295245-0.143005j
2017-03-28 00:00:06.760000 PDT,+0.295835-0.143291j
2017-03-28 00:00:06.770000 PDT,+0.296425-0.143576j
2017-03-28 00:00:06.780000 PDT,+0.297015-0.143862j
2017-03-28 00:00:06.790000 PDT,+0.297604-0.144148j
2017-03-28 00:00:06.800000 PDT,+0.298194-0.144434j
2017-03-28 00:00:06.810000 PDT,+0.298784-0.144719j
2017-03-28 00:00:06.820000 PDT,+0.299374-0.145005j
2017-03-28 00:00:06.830000 PDT,+0.299964-0.145291j
2017-03-28 00:00:06.840000 PDT,+0.300554-0.145576j
2017-03-28 00:00:06.850000 PDT,+0.301143-0.145862j
2017-03-28 00:00:06.860000 PDT,+0.301733-0.146148j
2017-03-28 00:00:06.870000 PDT,+0.302323-0.146433j
2017-03-28 00:00:06.880000 PDT,+0.302913-0.146719j
2017-03-28 00:00:06.890000 PDT,+0.303503-0.147005j
2017-03-28 00:00:06.900000 PDT,+0.304092-0.147291j
2017-03-28 00:00:06.910000 PDT,+0.304682-0.147576j
2017-03-28 00:00:06.920000 PDT,+0.305272-0.147862j
2017-03-28 00:00:06.930000 PDT,+0.305862-0.148148j
2017-03-28 00:00:06.940000 PDT,+0.306452-0.148434j
2017-03-28 00:00:06.950000 PDT,+0.307042-0.148719j
2017-03-28 00:00:06.960000 PDT,+0.307632-0.149005j
2017-03-28 00:00:06.970000 PDT,+0.308222-0.149291j
2017-03-28 00:00:06.980000 PDT,+0.308813-0.149577j
2017-03-28 00:00:06.990000 PDT,+0.309403-0.149863j
2017-03-28 00:00:07.000000 PDT,+0.309993-0.150149j
2017-03-28 00:00:07.010000 PDT,+0.310584-0.150435j
2017-03-28 00:00:07.020000 PDT,+0.311174-0.150721j
2017-03-28 00:00:07.030000 PDT,+0.311765-0.151007j
2017-03-28 00:00:07.040000 PDT,+0.312356-0.151293j
2017-03-28 00:00:07.050000 PDT,+0.312946-0.15158j
2017-03-28 00:00:07.060000 PDT,+0.313538-0.151866j
2017-03-28 00:00:07.070000 PDT,+0.314129-0.152152j
2017-03-28 00:00:07.080000 PDT,+0.31472-0.152439j
2017-03-28 00:00:07.090000 PDT,+0.315311-0.152725j
2017-03-28 00:00:07.100000 PDT,+0.315903-0.153012j
2017-03-28 00:00:07.110000 PDT,+0.316495-0.153298j
2017-03-28 00:00:07.120000 PDT,+0.317087-0.153585j
2017-03-28 00:00:07.130000 PDT,+0.317679-0.153872j
2017-03-28 00:00:07.140000 PDT,+0.318271-0.154159j
2017-03-28 00:00:07.150000 PDT,+0.318863-0.154446j
2017-03-28 00:00:07.160000 PDT,+0.319456-0.154733j
2017-03-28 00:00:07.170000 PDT,+0.320049-0.15502j
2017-03-28 00:00:07.180000 PDT,+0.320642-0.155307j
2017-03-28 00:00:07.190000 PDT,+0.321235-0.155595j
2017-03-28 00:00:07.200000 PDT,+0.321829-0.155882j
2017-03-28 00:00:07.210000 PDT,+0.322423-0.15617j
2017-03-28 00:00:07.220000 PDT,+0.323017-0.156458j
2017-03-28 00:00:07.230000 PDT,+0.323611-0.156745j
2017-03-28 00:00:07.240000 PDT,+0.324205-0.157033j
2017-03-28 00:00:07.250000 PDT,+0.3248-0.157322j
2017-03-28 00:00:07.260000 PDT,+0.325395-0.15761j
