# file...... ../data_vfd_out_rec_pow_B.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... vfd 20
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,power_out_B
2017-03-28 00:00:06.400000 PDT,+1117.98+541.465j
2017-03-28 00:00:06.410000 PDT,+1120.42+542.644j
2017-03-28 00:00:06.420000 PDT,+1122.86+543.824j
2017-03-28 00:00:06.430000 PDT,+1125.29+545.004j
2017-03-28 00:00:06.440000 PDT,+1127.73+546.183j
2017-03-28 00:00:06.450000 PDT,+1130.16+547.363j
2017-03-28 00:00:06.460000 PDT,+1132.6+548.543j
2017-03-28 00:00:06.470000 PDT,+1135.03+549.722j
2017-03-28 00:00:06.480000 PDT,+1137.47+550.902j
2017-03-28 00:00:06.490000 PDT,+1139.91+552.082j
2017-03-28 00:00:06.500000 PDT,+1142.34+553.261j
2017-03-28 00:00:06.510000 PDT,+1144.78+554.441j
2017-03-28 00:00:06.520000 PDT,+1147.21+555.621j
2017-03-28 00:00:06.530000 PDT,+1149.65+556.8j
2017-03-28 00:00:06.540000 PDT,+1152.08+557.98j
2017-03-28 00:00:06.550000 PDT,+1154.52+559.16j
2017-03-28 00:00:06.560000 PDT,+1156.96+560.339j
2017-03-28 00:00:06.570000 PDT,+1159.39+561.519j
2017-03-28 00:00:06.580000 PDT,+1161.83+562.699j
2017-03-28 00:00:06.590000 PDT,+1164.26+563.878j
2017-03-28 00:00:06.600000 PDT,+1166.7+565.058j
2017-03-28 00:00:06.610000 PDT,+1169.13+566.238j
2017-03-28 00:00:06.620000 PDT,+1171.57+567.417j
2017-03-28 00:00:06.630000 PDT,+1174.01+568.597j
2017-03-28 00:00:06.640000 PDT,+1176.44+569.777j
2017-03-28 00:00:06.650000 PDT,+1178.88+570.956j
2017-03-28 00:00:06.660000 PDT,+1181.31+572.136j
2017-03-28 00:00:06.670000 PDT,+1183.75+573.316j
2017-03-28 00:00:06.680000 PDT,+1186.18+574.495j
2017-03-28 00:00:06.690000 PDT,+1188.62+575.675j
2017-03-28 00:00:06.700000 PDT,+1191.06+576.855j
2017-03-28 00:00:06.710000 PDT,+1193.49+578.034j
2017-03-28 00:00:06.720000 PDT,+1195.93+579.214j
2017-03-28 00:00:06.730000 PDT,+1198.36+580.394j
2017-03-28 00:00:06.740000 PDT,+1200.8+581.573j
2017-03-28 00:00:06.750000 PDT,+1203.23+582.753j
2017-03-28 00:00:06.760000 PDT,+1205.67+583.933j
2017-03-28 00:00:06.770000 PDT,+1208.11+585.112j
2017-03-28 00:00:06.780000 PDT,+1210.54+586.292j
2017-03-28 00:00:06.790000 PDT,+1212.98+587.471j
2017-03-28 00:00:06.800000 PDT,+1215.41+588.651j
2017-03-28 00:00:06.810000 PDT,+1217.85+589.831j
2017-03-28 00:00:06.820000 PDT,+1220.28+591.01j
2017-03-28 00:00:06.830000 PDT,+1222.72+592.19j
2017-03-28 00:00:06.840000 PDT,+1225.16+593.37j
2017-03-28 00:00:06.850000 PDT,+1227.59+594.549j
2017-03-28 00:00:06.860000 PDT,+1230.03+595.729j
2017-03-28 00:00:06.870000 PDT,+1232.46+596.909j
2017-03-28 00:00:06.880000 PDT,+1234.9+598.088j
2017-03-28 00:00:06.890000 PDT,+1237.33+599.268j
2017-03-28 00:00:06.900000 PDT,+1239.77+600.448j
2017-03-28 00:00:06.910000 PDT,+1242.21+601.627j
2017-03-28 00:00:06.920000 PDT,+1244.64+602.807j
2017-03-28 00:00:06.930000 PDT,+1247.08+603.987j
2017-03-28 00:00:06.940000 PDT,+1249.51+605.166j
2017-03-28 00:00:06.950000 PDT,+1251.95+606.346j
2017-03-28 00:00:06.960000 PDT,+1254.38+607.526j
2017-03-28 00:00:06.970000 PDT,+1256.82+608.705j
2017-03-28 00:00:06.980000 PDT,+1259.26+609.885j
2017-03-28 00:00:06.990000 PDT,+1261.69+611.065j
2017-03-28 00:00:07.000000 PDT,+1264.13+612.244j
2017-03-28 00:00:07.010000 PDT,+1266.56+613.424j
2017-03-28 00:00:07.020000 PDT,+1269+614.604j
2017-03-28 00:00:07.030000 PDT,+1271.43+615.783j
2017-03-28 00:00:07.040000 PDT,+1273.87+616.963j
2017-03-28 00:00:07.050000 PDT,+1276.3+618.143j
2017-03-28 00:00:07.060000 PDT,+1278.74+619.322j
2017-03-28 00:00:07.070000 PDT,+1281.18+620.502j
2017-03-28 00:00:07.080000 PDT,+1283.61+621.682j
2017-03-28 00:00:07.090000 PDT,+1286.05+622.861j
2017-03-28 00:00:07.100000 PDT,+1288.48+624.041j
2017-03-28 00:00:07.110000 PDT,+1290.92+625.221j
2017-03-28 00:00:07.120000 PDT,+1293.35+626.4j
2017-03-28 00:00:07.130000 PDT,+1295.79+627.58j
2017-03-28 00:00:07.140000 PDT,+1298.23+628.76j
2017-03-28 00:00:07.150000 PDT,+1300.66+629.939j
2017-03-28 00:00:07.160000 PDT,+1303.1+631.119j
2017-03-28 00:00:07.170000 PDT,+1305.53+632.299j
2017-03-28 00:00:07.180000 PDT,+1307.97+633.478j
2017-03-28 00:00:07.190000 PDT,+1310.4+634.658j
2017-03-28 00:00:07.200000 PDT,+1312.84+635.838j
2017-03-28 00:00:07.210000 PDT,+1315.28+637.017j
2017-03-28 00:00:07.220000 PDT,+1317.71+638.197j
2017-03-28 00:00:07.230000 PDT,+1320.15+639.377j
2017-03-28 00:00:07.240000 PDT,+1322.58+640.556j
2017-03-28 00:00:07.250000 PDT,+1325.02+641.736j
2017-03-28 00:00:07.260000 PDT,+1327.45+642.916j
2017-03-28 00:00:07.270000 PDT,+1329.89+644.095j
2017-03-28 00:00:07.280000 PDT,+1332.33+645.275j
2017-03-28 00:00:07.290000 PDT,+1334.76+646.455j
2017-03-28 00:00:07.300000 PDT,+1337.2+647.634j
2017-03-28 00:00:07.310000 PDT,+1339.63+648.814j
2017-03-28 00:00:07.320000 PDT,+1342.07+649.994j
2017-03-28 00:00:07.330000 PDT,+1344.5+651.173j
2017-03-28 00:00:07.340000 PDT,+1346.94+652.353j
2017-03-28 00:00:07.350000 PDT,+1349.38+653.533j
2017-03-28 00:00:07.360000 PDT,+1351.81+654.712j
2017-03-28 00:00:07.370000 PDT,+1354.25+655.892j
2017-03-28 00:00:07.380000 PDT,+1356.68+657.072j
2017-03-28 00:00:07.390000 PDT,+1359.12+658.251j
2017-03-28 00:00:07.400000 PDT,+1361.55+659.431j
2017-03-28 00:00:07.410000 PDT,+1363.99+660.611j
2017-03-28 00:00:07.420000 PDT,+1366.43+661.79j
2017-03-28 00:00:07.430000 PDT,+1368.86+662.97j
2017-03-28 00:00:07.440000 PDT,+1371.3+664.149j
2017-03-28 00:00:07.450000 PDT,+1373.73+665.329j
2017-03-28 00:00:07.460000 PDT,+1376.17+666.509j
2017-03-28 00:00:07.470000 PDT,+1378.6+667.688j
2017-03-28 00:00:07.480000 PDT,+1381.04+668.868j
2017-03-28 00:00:07.490000 PDT,+1383.48+670.048j
2017-03-28 00:00:07.500000 PDT,+1385.91+671.227j
2017-03-28 00:00:07.510000 PDT,+1388.35+672.407j
2017-03-28 00:00:07.520000 PDT,+1390.78+673.587j
2017-03-28 00:00:07.530000 PDT,+1393.22+674.766j
2017-03-28 00:00:07.540000 PDT,+1395.65+675.946j
2017-03-28 00:00:07.550000 PDT,+1398.09+677.126j
