# file...... ../data_vfd_in_rec_curr_C.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... vfd 20
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,current_in_C
2017-03-28 00:00:07.170000 PDT,-0.0257698+0.354677j
2017-03-28 00:00:07.180000 PDT,-0.0258175+0.355334j
2017-03-28 00:00:07.190000 PDT,-0.0258653+0.355992j
2017-03-28 00:00:07.200000 PDT,-0.025913+0.356649j
2017-03-28 00:00:07.210000 PDT,-0.0259608+0.357307j
2017-03-28 00:00:07.220000 PDT,-0.0260086+0.357966j
2017-03-28 00:00:07.230000 PDT,-0.0260564+0.358624j
2017-03-28 00:00:07.240000 PDT,-0.0261043+0.359283j
2017-03-28 00:00:07.250000 PDT,-0.0261521+0.359942j
2017-03-28 00:00:07.260000 PDT,-0.0262+0.360602j
2017-03-28 00:00:07.270000 PDT,-0.0262479+0.361261j
2017-03-28 00:00:07.280000 PDT,-0.0262959+0.361921j
2017-03-28 00:00:07.290000 PDT,-0.0263438+0.362582j
2017-03-28 00:00:07.300000 PDT,-0.0263918+0.363243j
2017-03-28 00:00:07.310000 PDT,-0.0264398+0.363904j
2017-03-28 00:00:07.320000 PDT,-0.0264878+0.364565j
2017-03-28 00:00:07.330000 PDT,-0.0265359+0.365227j
2017-03-28 00:00:07.340000 PDT,-0.026584+0.365889j
2017-03-28 00:00:07.350000 PDT,-0.0266321+0.366552j
2017-03-28 00:00:07.360000 PDT,-0.0266802+0.367214j
2017-03-28 00:00:07.370000 PDT,-0.0267284+0.367878j
2017-03-28 00:00:07.380000 PDT,-0.0267765+0.368541j
2017-03-28 00:00:07.390000 PDT,-0.0268248+0.369205j
2017-03-28 00:00:07.400000 PDT,-0.026873+0.36987j
2017-03-28 00:00:07.410000 PDT,-0.0269213+0.370535j
2017-03-28 00:00:07.420000 PDT,-0.0269696+0.3712j
2017-03-28 00:00:07.430000 PDT,-0.0270179+0.371866j
2017-03-28 00:00:07.440000 PDT,-0.0270663+0.372532j
2017-03-28 00:00:07.450000 PDT,-0.0271147+0.373198j
2017-03-28 00:00:07.460000 PDT,-0.0271631+0.373865j
2017-03-28 00:00:07.470000 PDT,-0.0272116+0.374532j
2017-03-28 00:00:07.480000 PDT,-0.02726+0.3752j
2017-03-28 00:00:07.490000 PDT,-0.0273086+0.375868j
2017-03-28 00:00:07.500000 PDT,-0.0273571+0.376537j
2017-03-28 00:00:07.510000 PDT,-0.0274057+0.377206j
2017-03-28 00:00:07.520000 PDT,-0.0274543+0.377875j
2017-03-28 00:00:07.530000 PDT,-0.0275029+0.378545j
2017-03-28 00:00:07.540000 PDT,-0.0275516+0.379216j
2017-03-28 00:00:07.550000 PDT,-0.0276003+0.379886j
2017-03-28 00:00:07.560000 PDT,-0.027649+0.380557j
2017-03-28 00:00:07.570000 PDT,-0.0276978+0.381229j
2017-03-28 00:00:07.580000 PDT,-0.0277466+0.381901j
2017-03-28 00:00:07.590000 PDT,-0.0277954+0.382573j
2017-03-28 00:00:07.600000 PDT,-0.0278442+0.383246j
2017-03-28 00:00:07.610000 PDT,-0.0278931+0.383919j
2017-03-28 00:00:07.620000 PDT,-0.027942+0.384593j
2017-03-28 00:00:07.630000 PDT,-0.0279909+0.385266j
2017-03-28 00:00:07.640000 PDT,-0.0280399+0.385941j
2017-03-28 00:00:07.650000 PDT,-0.0280889+0.386615j
2017-03-28 00:00:07.660000 PDT,-0.0281379+0.38729j
2017-03-28 00:00:07.670000 PDT,-0.0281869+0.387966j
2017-03-28 00:00:07.680000 PDT,-0.028236+0.388641j
2017-03-28 00:00:07.690000 PDT,-0.028285+0.389317j
2017-03-28 00:00:07.700000 PDT,-0.0283341+0.389993j
2017-03-28 00:00:07.710000 PDT,-0.0283832+0.39067j
2017-03-28 00:00:07.720000 PDT,-0.0284324+0.391346j
2017-03-28 00:00:07.730000 PDT,-0.0284815+0.392023j
2017-03-28 00:00:07.740000 PDT,-0.0285307+0.392701j
2017-03-28 00:00:07.750000 PDT,-0.0285799+0.393378j
2017-03-28 00:00:07.760000 PDT,-0.0286291+0.394055j
2017-03-28 00:00:07.770000 PDT,-0.0286783+0.394733j
2017-03-28 00:00:07.780000 PDT,-0.0287275+0.395411j
2017-03-28 00:00:07.790000 PDT,-0.0287767+0.396089j
2017-03-28 00:00:07.800000 PDT,-0.0288259+0.396767j
2017-03-28 00:00:07.810000 PDT,-0.0288752+0.397445j
2017-03-28 00:00:07.820000 PDT,-0.0289244+0.398123j
2017-03-28 00:00:07.830000 PDT,-0.0289736+0.398801j
2017-03-28 00:00:07.840000 PDT,-0.0290228+0.399479j
2017-03-28 00:00:07.850000 PDT,-0.029072+0.400157j
2017-03-28 00:00:07.860000 PDT,-0.0291212+0.400834j
2017-03-28 00:00:07.870000 PDT,-0.0291704+0.401512j
2017-03-28 00:00:07.880000 PDT,-0.0292196+0.402189j
2017-03-28 00:00:07.890000 PDT,-0.0292688+0.402866j
2017-03-28 00:00:07.900000 PDT,-0.0293179+0.403543j
2017-03-28 00:00:07.910000 PDT,-0.029367+0.404219j
2017-03-28 00:00:07.920000 PDT,-0.0294161+0.404895j
2017-03-28 00:00:07.930000 PDT,-0.0294651+0.405571j
2017-03-28 00:00:07.940000 PDT,-0.0295142+0.406246j
2017-03-28 00:00:07.950000 PDT,-0.0295631+0.406921j
2017-03-28 00:00:07.960000 PDT,-0.0296121+0.407594j
2017-03-28 00:00:07.970000 PDT,-0.0296609+0.408268j
2017-03-28 00:00:07.980000 PDT,-0.0297098+0.40894j
2017-03-28 00:00:07.990000 PDT,-0.0297585+0.409612j
2017-03-28 00:00:08.000000 PDT,-0.0298072+0.410283j
2017-03-28 00:00:08.010000 PDT,-0.0298559+0.410953j
2017-03-28 00:00:08.020000 PDT,-0.0299044+0.411622j
2017-03-28 00:00:08.030000 PDT,-0.0299529+0.412289j
2017-03-28 00:00:08.040000 PDT,-0.0300013+0.412956j
2017-03-28 00:00:08.050000 PDT,-0.0300496+0.413622j
2017-03-28 00:00:08.060000 PDT,-0.0300978+0.414286j
2017-03-28 00:00:08.070000 PDT,-0.030146+0.414948j
2017-03-28 00:00:08.080000 PDT,-0.030194+0.41561j
2017-03-28 00:00:08.090000 PDT,-0.0302419+0.416269j
2017-03-28 00:00:08.100000 PDT,-0.0302896+0.416927j
2017-03-28 00:00:08.110000 PDT,-0.0303373+0.417584j
2017-03-28 00:00:08.120000 PDT,-0.0303848+0.418238j
2017-03-28 00:00:08.130000 PDT,-0.0304321+0.41889j
2017-03-28 00:00:08.140000 PDT,-0.0304794+0.419541j
2017-03-28 00:00:08.150000 PDT,-0.0305264+0.420189j
2017-03-28 00:00:08.160000 PDT,-0.0305733+0.420835j
2017-03-28 00:00:08.170000 PDT,-0.03062+0.421478j
2017-03-28 00:00:08.180000 PDT,-0.0306666+0.422119j
2017-03-28 00:00:08.190000 PDT,-0.0307129+0.422758j
