# file...... ../data_vfd_out_rec_curr_B.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... vfd 20
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,current_out_B
2017-03-28 00:00:08.000000 PDT,+0.238095-20.9669d
2017-03-28 00:00:08.010000 PDT,+0.238095-27.7169d
2017-03-28 00:00:08.020000 PDT,+0.238095-34.1294d
2017-03-28 00:00:08.030000 PDT,+0.238095-40.2044d
2017-03-28 00:00:08.040000 PDT,+0.238095-45.9419d
2017-03-28 00:00:08.050000 PDT,+0.238095-51.3419d
2017-03-28 00:00:08.060000 PDT,+0.238095-56.4044d
2017-03-28 00:00:08.070000 PDT,+0.238095-61.1294d
2017-03-28 00:00:08.080000 PDT,+0.238095-65.5169d
2017-03-28 00:00:08.090000 PDT,+0.238095-69.5669d
2017-03-28 00:00:08.100000 PDT,+0.238095-73.2794d
2017-03-28 00:00:08.110000 PDT,+0.238095-76.6544d
2017-03-28 00:00:08.120000 PDT,+0.238095-79.6919d
2017-03-28 00:00:08.130000 PDT,+0.238095-82.3919d
2017-03-28 00:00:08.140000 PDT,+0.238095-84.7544d
2017-03-28 00:00:08.150000 PDT,+0.238095-86.7794d
2017-03-28 00:00:08.160000 PDT,+0.238095-88.4669d
2017-03-28 00:00:08.170000 PDT,+0.238095-89.8169d
2017-03-28 00:00:08.180000 PDT,+0.238095-90.8294d
2017-03-28 00:00:08.190000 PDT,+0.238095-91.5044d
2017-03-28 00:00:08.200000 PDT,+0.238095-91.8419d
2017-03-28 00:00:08.210000 PDT,+0.238095-91.8419d
2017-03-28 00:00:09 PDT,+0.238095-91.8419d
2017-03-28 00:00:10 PDT,+0.238095-91.8419d
2017-03-28 00:00:11 PDT,+0.238095-91.8419d
2017-03-28 00:00:12.000000 PDT,+0.238095-91.8419d
2017-03-28 00:00:12.010000 PDT,+0.238095-91.8419d
2017-03-28 00:00:12.020000 PDT,+0.238095-92.3294d
2017-03-28 00:00:12.030000 PDT,+0.238095-93.3044d
2017-03-28 00:00:12.040000 PDT,+0.238095-94.7669d
2017-03-28 00:00:12.050000 PDT,+0.238095-96.7169d
2017-03-28 00:00:12.060000 PDT,+0.238095-99.1544d
2017-03-28 00:00:12.070000 PDT,+0.238095-102.079d
2017-03-28 00:00:12.080000 PDT,+0.238095-105.492d
2017-03-28 00:00:12.090000 PDT,+0.238095-109.392d
2017-03-28 00:00:12.100000 PDT,+0.238095-113.779d
2017-03-28 00:00:12.110000 PDT,+0.238095-118.654d
2017-03-28 00:00:12.120000 PDT,+0.238095-124.017d
2017-03-28 00:00:12.130000 PDT,+0.238095-129.867d
2017-03-28 00:00:12.140000 PDT,+0.238095-136.205d
2017-03-28 00:00:12.150000 PDT,+0.238095-143.03d
2017-03-28 00:00:12.160000 PDT,+0.238095-150.342d
2017-03-28 00:00:12.170000 PDT,+0.238095-158.142d
2017-03-28 00:00:12.180000 PDT,+0.238095-166.43d
2017-03-28 00:00:12.190000 PDT,+0.238095-175.204d
2017-03-28 00:00:12.200000 PDT,+0.238095+175.533d
2017-03-28 00:00:12.210000 PDT,+0.238095+165.783d
2017-03-28 00:00:12.220000 PDT,+0.238095+155.546d
2017-03-28 00:00:12.230000 PDT,+0.238095+144.821d
2017-03-28 00:00:12.240000 PDT,+0.238095+133.608d
2017-03-28 00:00:12.250000 PDT,+0.238095+121.908d
2017-03-28 00:00:12.260000 PDT,+0.238095+109.721d
2017-03-28 00:00:12.270000 PDT,+0.238095+97.0456d
2017-03-28 00:00:12.280000 PDT,+0.238095+83.8831d
2017-03-28 00:00:12.290000 PDT,+0.238095+70.2331d
2017-03-28 00:00:12.300000 PDT,+0.238095+56.0956d
2017-03-28 00:00:12.310000 PDT,+0.238095+41.4706d
2017-03-28 00:00:12.320000 PDT,+0.238095+26.3582d
2017-03-28 00:00:12.330000 PDT,+0.238095+10.7582d
2017-03-28 00:00:12.340000 PDT,+0.238095-5.32932d
2017-03-28 00:00:12.350000 PDT,+0.238095-21.9043d
2017-03-28 00:00:12.360000 PDT,+0.238095-38.9668d
2017-03-28 00:00:12.370000 PDT,+0.238095-56.5168d
2017-03-28 00:00:12.380000 PDT,+0.238095-74.5543d
2017-03-28 00:00:12.390000 PDT,+0.238095-93.0797d
2017-03-28 00:00:12.400000 PDT,+0.238095-112.092d
2017-03-28 00:00:12.410000 PDT,+0.238095-131.592d
2017-03-28 00:00:12.420000 PDT,+0.238095-151.58d
2017-03-28 00:00:12.430000 PDT,+0.238095-172.055d
2017-03-28 00:00:12.440000 PDT,+0.238095+166.983d
2017-03-28 00:00:12.450000 PDT,+0.238095+145.533d
2017-03-28 00:00:12.460000 PDT,+0.238095+123.595d
2017-03-28 00:00:12.470000 PDT,+0.238095+101.17d
2017-03-28 00:00:12.480000 PDT,+0.238095+78.258d
2017-03-28 00:00:12.490000 PDT,+0.238095+54.858d
2017-03-28 00:00:12.500000 PDT,+0.238095+30.9705d
2017-03-28 00:00:12.510000 PDT,+0.238095+6.59557d
2017-03-28 00:00:12.520000 PDT,+0.238095-18.2669d
2017-03-28 00:00:12.530000 PDT,+0.238095-43.6169d
2017-03-28 00:00:12.540000 PDT,+0.238095-69.4544d
2017-03-28 00:00:12.550000 PDT,+0.238095-95.7793d
2017-03-28 00:00:12.560000 PDT,+0.238095-122.592d
