# file...... Gen_1_Speed.csv
# date...... Thu Jul 19 18:31:22 2018
# user...... thek306
# host...... (null)
# target.... diesel_dg 306
# trigger... (none)
# interval.. -1
# limit..... 0
# timestamp,rotor_speed,rotor_angle,flux1d,flux2q,EpRotated,VintRotated,Eint_A,Eint_B,Eint_C,Irotated,pwr_electric.real,pwr_electric.imag,pwr_mech,torque_mech,torque_elec
2001-08-01 13:00:11.230000 PDT,+376.989266213,+0.274891473936,+0.974319168676,-0.268682616667,+0.246645662228+1.01862802437j,+0.251714161749+0.997217033699j,+2466.89780318+68.2015188264j,-1174.38465371-2170.49692551j,-1292.51314947+2102.29540668j,+0.148590439092+0.109500502282j,+731922.893245,+559656.303873,+732999.408776,+1944.35087274,+1944.31808861
2001-08-01 13:00:11.240000 PDT,+376.98927945,+0.274854562164,+0.974327887658,-0.268646252059,+0.24660980215+1.01863382544j,+0.251678185629+0.997224244769j,+2466.89354339+68.1982406496j,-1174.3853628-2170.49159734j,-1292.50818059+2102.29335669j,+0.148581417851+0.109502855695j,+731900.536427,+559636.17011,+732976.945187,+1944.29121766,+1944.2586757
2001-08-01 13:00:11.250000 PDT,+376.98929259,+0.274817914157,+0.974336537378,-0.268610146551,+0.246574198255+1.01863957093j,+0.251642466363+0.997231393644j,+2466.88929236+68.1949798737j,-1174.3860612-2170.48628544j,-1292.50323116+2102.29130557j,+0.14857243644+0.109505187727j,+731878.283134,+559616.065742,+732954.585776,+1944.23183943,+1944.1995378
2001-08-01 13:00:11.260000 PDT,+376.989305632,+0.274781527968,+0.974345118381,-0.26857429823,+0.246538848652+1.01864526129j,+0.251607002055+0.997238480825j,+2466.88505005+68.1917363984j,-1174.38674898-2170.48098976j,-1292.49830108+2102.28925336j,+0.148563494629+0.109507498562j,+731856.132808,+559595.990832,+732932.329989,+1944.17273657,+1944.14067339
2001-08-01 13:00:11.270000 PDT,+376.989318579,+0.274745401666,+0.974353631206,-0.268538705203,+0.246503751461+1.01865089699j,+0.251571790822+0.997245506811j,+2466.88081648+68.1885101248j,-1174.38742622-2170.47571024j,-1292.49339025+2102.28720011j,+0.148554592186+0.109509788389j,+731834.084925,+559575.945423,+732910.177273,+1944.11390762,+1944.08208107
2001-08-01 13:00:11.280000 PDT,+376.989331429,+0.274709533335,+0.974362076391,-0.268503365586,+0.246468904818+1.01865647846j,+0.251536830795+0.997252472092j,+2466.87659161+68.1853009546j,-1174.38809301-2170.47044681j,-1292.4884986+2102.28514586j,+0.148545728884+0.109512057393j,+731812.13892,+559555.929555,+732888.12708,+1944.05535112,+1944.02375939
2001-08-01 13:00:11.290000 PDT,+376.989344186,+0.274673921072,+0.974370454466,-0.268468277514,+0.246434306874+1.01866200617j,+0.251502120121+0.99725937716j,+2466.87237544+68.1821087905j,-1174.38874943-2170.46519942j,-1292.48362602+2102.28309063j,+0.148536904492+0.109514305753j,+731790.294261,+559535.94328,+732866.178867,+1943.99706562,+1943.96570686
2001-08-01 13:00:11.300000 PDT,+376.989356848,+0.274638562991,+0.974378765957,-0.268433439133,+0.246399955791+1.01866748056j,+0.25146765696+0.997266222497j,+2466.86816797+68.1789335361j,-1174.38939554-2170.45996801j,-1292.47877243+2102.28103448j,+0.148528118788+0.109516533658j,+731768.55041,+559515.986651,+732844.332092,+1943.93904969,+1943.90792217
2001-08-01 13:00:11.310000 PDT,+376.989369417,+0.274603457219,+0.974387011389,-0.268398848605,+0.246365849748+1.01867290207j,+0.251433439485+0.997273008585j,+2466.86396916+68.1757750959j,-1174.39003143-2170.45475252j,-1292.47393774+2102.27897743j,+0.148519371545+0.109518741284j,+731746.906841,+559496.059703,+732822.586231,+1943.88130192,+1943.85040383
2001-08-01 13:00:11.320000 PDT,+376.989381893,+0.274568601898,+0.974395191278,-0.268364504106,+0.246331986937+1.01867827113j,+0.251399465886+0.997279735901j,+2466.85977902+68.1726333752j,-1174.39065716-2170.44955289j,-1292.46912186+2102.27691952j,+0.148510662543+0.109520928814j,+731725.36304,+559476.16247,+732800.94075,+1943.8238209,+1943.79315052
2001-08-01 13:00:11.330000 PDT,+376.989394277,+0.274533995184,+0.97440330614,-0.268330403824,+0.246298365563+1.01868358819j,+0.251365734363+0.997286404918j,+2466.85559753+68.1695082799j,-1174.39127283-2170.44436907j,-1292.4643247+2102.27486079j,+0.148501991556+0.109523096421j,+731703.918465,+559456.295001,+732779.395125,+1943.76660524,+1943.73616075
2001-08-01 13:00:11.340000 PDT,+376.989406571,+0.274499635247,+0.974411356485,-0.268296545962,+0.246264983845+1.01868885367j,+0.251332243132+0.997293016105j,+2466.85142468+68.1663997174j,-1174.3918785-2170.43920099j,-1292.45954618+2102.27280128j,+0.14849335837+0.109525244289j,+731682.572625,+559436.457324,+732757.948836,+1943.70965355,+1943.67943328
2001-08-01 13:00:11.350000 PDT,+376.989418774,+0.274465520271,+0.974419342817,-0.268262928738,+0.246231840017+1.018694068j,+0.251298990423+0.997299569925j,+2466.84726045+68.1633075947j,-1174.39247424-2170.4340486j,-1292.45478621+2102.27074101j,+0.14848476276+0.109527372589j,+731661.32498,+559416.649502,+732736.601369,+1943.65296446,+1943.62296666
2001-08-01 13:00:11.360000 PDT,+376.989430887,+0.274431648454,+0.974427265638,-0.268229550382,+0.246198932323+1.0186992316j,+0.251265974477+0.997306066841j,+2466.84310484+68.160231821j,-1174.39306013-2170.42891185j,-1292.4500447+2102.26868003j,+0.148476204514+0.109529481494j,+731640.175044,+559396.87153,+732715.352211,+1943.59653661,+1943.56675956
2001-08-01 13:00:11.370000 PDT,+376.989442911,+0.274398018008,+0.974435125447,-0.268196409136,+0.246166259025+1.0187043449j,+0.25123319355+0.99731250731j,+2466.83895782+68.1571723058j,-1174.39363624-2170.42379067j,-1292.44532158+2102.26661836j,+0.148467683415+0.109531571183j,+731619.122306,+559377.123471,+732694.200853,+1943.54036865,+1943.51081067
